18,0.5733,0.9422,2.5888
0,(1272.0,6168.9),(11608.2,7485.2),(6757.5, 715.7),( 268.8, 984.5),(12213.1, 186.9),(3591.1,7904.9),(13310.9,5739.8),(8829.1, 475.7),(9159.9,7146.0),(7343.7,2939.9),(11799.2,2146.2),(6574.7,7134.3),(3987.1, 900.8),(1895.3,3294.3),(5787.1,4860.0),(4067.9,5363.2),(4641.0,7088.0),(4437.0,2930.5)
1,(1311.1,6458.4),(11565.9,7129.3),(6757.6, 716.0),( 233.3, 601.0),(12293.8, 184.2),(3523.5,7702.4),(13511.1,6041.9),(8952.5, 816.5),(8826.6,7146.0),(7554.1,2962.5),(12132.0,2133.1),(6241.6,7123.0),(4041.3,1225.6),(1958.2,3616.7),(5921.6,4860.0),(4190.2,5228.2),(9233.8,5259.8),(4517.7,2937.0)
2,(1266.1,6125.8),(11487.4,6794.1),(6757.7, 716.3),( 435.0, 410.7),(11960.6, 195.3),(3514.5,7307.8),(13711.3,6344.0),(9076.0,1157.2),(8732.7,7146.0),(7451.9,2985.9),(12465.0,2116.8),(6360.5,7125.5),(4041.4,1226.4),(1887.8,3255.7),(5589.1,4866.4),(4076.4,5105.3),(9075.3,5253.0),(4347.5,3142.4)
3,(1188.0,5661.0),(11409.0,6458.8),(6757.8, 716.7),( 768.3, 405.7),(11627.3, 202.5),(3365.3,7110.0),(13777.7,6444.2),(9076.0,1157.2),(8891.9,7146.0),(7403.0,2939.0),(12798.0,2100.4),(6693.2,7142.2),(4041.5,1227.2),(1817.5,2895.2),(5334.3,5022.7),(3810.6,5217.0),(9060.5,5252.5),(4121.6,3242.6)
4,(1115.0,5350.8),(11421.5,6512.4),(6757.9, 717.0),(1101.6, 400.6),(11294.0, 208.5),(3031.9,7110.0),(13577.6,6142.1),(9076.0,1157.2),(9033.4,7146.0),(7289.4,2834.0),(13050.2,2092.3),(6693.2,7142.2),(4248.4,1361.2),(1784.7,2694.2),(5432.4,5210.3),(3478.2,5237.7),(9045.6,5252.0),(4344.1,3348.0)
5,(1048.4,5043.9),(11500.0,6847.6),(6758.0, 717.4),(1434.9, 395.6),(10960.8, 214.4),(2953.4,7110.0),(13382.6,5848.0),(9076.0,1157.2),(9156.0,7315.3),(7353.8,2889.8),(13067.8,2426.2),(7035.7,7137.8),(4068.1,1390.0),(1727.8,2345.3),(5616.4,5212.5),(3575.2,5548.8),(9030.8,5251.5),(4500.5,3143.7)
6,( 992.7,4765.4),(11490.4,6806.7),(6758.1, 717.7),(1768.2, 390.6),(10963.5, 214.4),(3049.3,7110.0),(13446.4,5944.2),(9189.0,2502.2),(9177.7,7650.0),(7443.2,2979.2),(13049.8,2084.8),(7368.9,7128.3),(4064.1,1362.9),(1550.8,2024.9),(5615.8,5224.3),(3676.7,5860.6),(9030.8,5251.5),(4508.4,3049.0)
7,( 985.6,4731.9),(11491.1,6809.9),(6758.2, 718.0),(2101.5, 385.6),(10917.2, 419.4),(2715.9,7110.0),(13466.2,5974.1),(9208.7,2782.6),(9511.1,7650.0),(7402.7,2938.7),(13031.9,1734.7),(7368.9,7128.3),(4064.0,1362.1),(1673.0,2006.0),(5604.1,5558.0),(3899.4,6066.8),(9030.8,5251.5),(4500.6,3142.3)
8,(1137.3,4761.2),(11491.9,6813.0),(6758.2, 718.4),(2434.8, 380.6),(10966.7, 642.3),(2383.5,7100.4),(13493.9,6016.0),(9538.1,2730.6),(9844.4,7650.0),(7415.4,2951.4),(13013.9,1384.6),(7368.9,7128.3),(4063.9,1361.3),(1601.5,2021.3),(5720.9,5220.0),(4226.0,6104.4),(9030.8,5251.5),(4508.3,3050.4)
9,(1470.1,4782.0),(11497.0,6835.0),(6758.3, 718.7),(2768.1, 375.5),(11050.1,1017.3),(2125.8,7047.6),(13555.1,6108.3),(9867.5,2678.6),(10177.7,7650.0),(7430.6,2966.6),(12996.0,1034.6),(7368.9,7128.3),(4063.8,1360.5),(1269.0,2045.3),(5933.8,5220.0),(4518.6,6196.3),(9030.8,5251.5),(4465.6,3148.3)
