10,0.6892,0.8207,1.5099
0,(2089.1,4278.1),(11961.2,2141.5),(6437.2, 288.0),(5624.6,5047.6),(3501.3,7110.0),(1149.0,5495.2),(11542.1,7164.4),(11971.4, 700.5),(7046.8,7137.5),(7443.0,2681.2)
1,(2057.2,4677.1),(12293.9,2125.2),(6103.9, 288.0),(5922.2,5220.0),(3551.1,6900.8),(4200.4,2487.6),(11593.5,7347.0),(9165.0,5431.4),(6713.8,7143.6),(7380.0,2371.1)
2,(1730.9,4750.8),(12626.9,2108.8),(6103.9, 288.0),(5732.4,5220.0),(3621.7,6542.3),(4533.5,2499.9),(11629.4,7684.7),(9254.5,5260.9),(6380.9,7125.9),(7423.4,2375.0)
3,(1401.8,4777.7),(12959.9,2092.4),(6103.9, 288.0),(5399.5,5208.6),(3692.2,6183.9),(4608.3,2739.8),(11546.6,8009.0),(9054.6,5252.3),(6047.6,7119.0),(7443.0,2681.5)
4,(1069.0,4756.9),(13040.8,1909.0),(5553.9, 738.0),(5329.0,5027.2),(3521.3,5994.5),(4449.4,2931.0),(11213.3,8006.0),(9039.8,5251.8),(5714.4,7112.0),(7443.0,2680.7)
5,( 954.9,4590.5),(13022.9,1559.0),(5220.6, 738.0),(5620.5,4861.9),(3189.2,5966.0),(4116.5,2916.5),(10880.0,8003.1),(9024.9,5251.3),(5687.7,7257.5),(7434.1,2373.2)
6,(1058.3,4307.8),(13004.9,1208.9),(4887.2, 738.0),(5954.8,4860.0),(2944.4,6109.6),(4137.2,3148.5),(10546.7,8000.1),(9165.0,5432.7),(6020.8,7270.3),(7446.1,2060.4)
7,(1390.6,4266.0),(12987.0, 858.8),(4553.9, 738.0),(5753.8,4860.0),(2722.1,6339.0),(4320.3,3348.0),(10213.3,7997.2),(9162.1,5259.0),(6353.9,7283.1),(7445.8,2068.4)
8,(1723.9,4266.0),(12807.3, 686.8),(4220.6, 738.0),(5591.8,4712.2),(2491.5,6602.6),(4500.4,3145.6),(9880.0,7994.2),(9007.4,5250.7),(6518.7,7244.1),(7567.2,2360.3)
9,(2057.2,4266.0),(12474.0, 692.3),(3948.7, 711.7),(5280.2,4572.0),(2262.1,6865.9),(4411.2,2929.4),(9629.1,7983.3),(9022.3,5251.2),(6750.0,7145.1),(7438.5,2528.8)
10,(2051.0,4081.2),(12140.8, 697.7),(3831.5, 438.2),(4984.9,4578.3),(2185.0,7081.5),(4468.2,2931.8),(9666.7,7650.0),(9037.1,5251.7),(6742.8,6799.7),(7438.5,2530.0)
11,(1987.6,3763.9),(12140.8, 697.7),(4125.9, 348.4),(5023.0,4914.5),(2517.4,7110.0),(4510.7,2933.7),(10000.1,7650.0),(9052.0,5252.2),(6735.6,6454.4),(7438.6,2530.8)
12,(1920.9,3425.4),(12140.8, 697.7),(4459.0, 336.6),(4998.1,5111.9),(2850.7,7110.0),(4453.7,2931.2),(10332.0,7649.9),(9052.0,5252.2),(6912.8,6277.0),(7438.6,2531.6)
13,(1850.5,3064.4),(11644.8, 202.2),(4792.2, 324.8),(5190.4,5197.6),(3152.0,7110.0),(4396.8,2928.7),(10307.9,7336.3),(9052.0,5252.2),(7246.1,6267.7),(7438.4,2525.6)
14,(1787.6,2711.6),(11311.5, 208.2),(5125.3, 313.0),(5130.5,5369.4),(2818.6,7110.0),(4339.7,2926.2),(10494.7,7179.2),(9180.6,4522.8),(7246.1,6267.7),(7438.6,2533.2)
15,(1730.6,2362.7),(10978.3, 214.1),(5458.4, 301.2),(4825.5,5537.0),(2485.3,7110.0),(4477.3,2932.2),(10828.0,7174.5),(9188.7,4234.6),(7246.1,6267.7),(7443.0,2681.5)
