27,0.901042665,0.00959
0,(8381,279),(3647,7907),(11880,317),(11193,2206),(3979,856),(9060,6314),(227,533),(14529,7139),(6239,2029),(781,3645),(7553,5249),(9041,7989),(10337,5242),(4763,7110),(7429,390),(1847,5638),(7332,1364),(5754,4860),(9182,4511),(4508,3053),(7366,2902),(4166,5231),(1458,7092),(6750,7836),(1841,3015),(11586,7283),(13116,5446)
1,(8639,260),(3905,7919),(11880,576),(10955,2306),(4022,1111),(8802,6308),(250,790),(14497,7395),(6149,1787),(720,3394),(7812,5236),(8784,7985),(10079,5252),(4644,7110),(7418,647),(2103,5610),(7074,1356),(6011,4860),(9176,4556),(4404,3281),(7432,2968),(4423,5214),(1596,7088),(6750,7577),(1890,3269),(11614,7540),(13258,5661)
2,(8811,425),(4199,7932),(12048,699),(10684,2419),(4068,1402),(8507,6300),(277,1083),(14462,7687),(6330,1715),(650,3108),(8106,5220),(8490,7980),(9846,5346),(5316,7110),(7193,732),(2396,5578),(6866,1445),(6305,4860),(9325,4400),(4567,3334),(7208,2879),(4050,5202),(1889,7080),(6750,7284),(1946,3558),(11645,7832),(13421,5906)
3,(8933,765),(4560,7948),(12408,693),(10351,2559),(4077,1762),(8147,6283),(315,1442),(14544,7020),(6691,1724),(694,3290),(8118,5569),(8128,7974),(9846,5708),(5608,7170),(6833,752),(2755,5539),(6847,1650),(6382,5118),(9686,4424),(4928,3347),(6860,2788),(4786,5184),(2192,6958),(6745,6922),(1907,3358),(11644,7827),(13620,6207)
4,(9036,1048),(4703,7811),(12710,688),(10302,2580),(4085,2063),(8389,6295),(367,1739),(14117,8042),(6840,1880),(766,3583),(8118,5870),(7827,7966),(9878,5971),(5603,7470),(6708,527),(3042,5495),(7452,1368),(6172,5220),(9987,4444),(4934,3322),(6812,2689),(4675,4956),(2162,6998),(6739,6621),(1850,3063),(11612,7528),(13786,6458)
5,(9152,1368),(4674,7472),(12975,611),(10615,2448),(4273,2250),(8464,6551),(426,2074),(13776,8037),(6840,2220),(965,3755),(8118,6210),(7488,7958),(10216,5925),(5613,7810),(6660,341),(3042,5284),(6890,1114),(5832,5220),(9689,4424),(5166,3409),(6842,2375),(4707,5134),(1860,7080),(6750,7956),(1646,2916),(11576,7189),(13974,6741)
6,(9119,1277),(3528,7902),(12962,247),(10951,2307),(4543,2250),(8186,6614),(374,1778),(13412,8032),(6840,2058),(1329,3730),(8118,5989),(7672,7962),(9906,5967),(5609,7664),(6751,694),(2901,5523),(6747,1340),(5623,5072),(9325,4400),(5166,3774),(7148,2350),(4403,5216),(1495,7090),(6739,6646),(1284,2954),(11910,7128),(14286,6840)
7,(9006,966),(4313,7110),(12714,170),(11256,2179),(4212,2250),(8113,6362),(317,1452),(13082,8028),(6282,2142),(1656,3681),(8118,5658),(8003,7971),(9846,5706),(5600,7333),(6869,1003),(2572,5559),(6830,1346),(5516,4876),(9186,4189),(5166,3455),(7478,2370),(4150,5124),(1513,7379),(6746,6976),(955,2989),(12239,7094),(14219,6840)
8,(8901,676),(4003,7110),(12405,180),(11366,2411),(4105,2468),(8105,6510),(283,1144),(12773,8024),(6530,1720),(810,3762),(8118,5349),(8118,7779),(9846,5397),(5612,7026),(6800,833),(2265,5593),(7139,1358),(5625,5032),(9192,4291),(4981,3344),(7786,2341),(4056,5177),(1589,7625),(6889,7142),(647,3022),(12546,7062),(13968,6731)
9,(8786,358),(3666,7110),(12067,191),(11676,2457),(4104,2162),(8083,6848),(252,808),(12434,8020),(6192,1711),(1627,3686),(8104,5012),(8118,7893),(10073,5252),(5598,6687),(6706,1002),(1928,5629),(7448,1342),(5767,5220),(9435,4407),(4518,2934),(8123,2353),(3737,5221),(1820,7378),(7227,7132),(948,2990),(12883,7027),(13781,6449)
10,(8824,464),(3514,7293),(12030,192),(12015,2464),(4079,1824),(8066,7105),(221,470),(12095,8015),(6213,1959),(1292,3736),(8082,4673),(8377,7978),(10413,5239),(5584,6349),(7434,270),(1701,5786),(7431,1226),(6106,5220),(9774,4430),(4386,3306),(8060,2351),(3497,5309),(2052,7130),(7192,7133),(1285,2954),(13220,6992),(13594,6167)
11,(8934,766),(3521,7613),(12352,182),(12335,2454),(4071,1503),(8088,6784),(480,410),(11775,8011),(6312,2264),(972,3755),(8062,4353),(8697,7983),(10448,4961),(5362,6223),(6701,1020),(1819,5641),(7452,1545),(6377,5165),(9921,4440),(4510,3021),(7452,2988),(3596,5615),(1939,7251),(6871,7142),(1605,2920),(13064,7008),(13416,5899)
