0,(8369,280),(9089,2342),(3635,7906),(11988,194),(11330,2265),(3977,844),(9177,6426),(225,521),(14530,7127),(6308,2247),(918,3757),(7428,5363),(9156,7884),(10349,5242),(4536,7110),(7542,272),(1706,5758),(7344,1364),(5702,4776),(9305,4399),(4518,2934),(7461,3095),(4061,5309),(1409,6994),(6858,7956),(1800,2791),(11465,7165)
1,(8603,262),(8855,2346),(3869,7917),(12221,186),(11422,2449),(4016,1075),(9172,6660),(247,754),(14502,7359),(6306,2241),(1152,3747),(7415,5597),(9162,7992),(10116,5250),(4302,7110),(7776,277),(1850,5846),(7110,1357),(5851,4595),(9539,4414),(4636,3168),(7481,3328),(4087,5542),(1559,7089),(7092,7956),(1762,2560),(11231,7168)
2,(8929,248),(8530,2352),(4195,7932),(12548,175),(11748,2459),(4068,1398),(9165,6986),(277,1079),(14462,7683),(6253,2142),(1475,3708),(7398,5923),(9155,7323),(9980,5074),(3976,7110),(8102,284),(2175,5875),(6867,1441),(5712,4764),(9865,4436),(4480,3340),(7526,3588),(4050,5202),(1885,7080),(7378,7956),(1710,2238),(10905,7173)
3,(9269,243),(8334,2356),(4536,7947),(12888,164),(11851,2462),(4077,1738),(8981,7146),(311,1418),(14420,8022),(6172,1848),(1812,3658),(7434,5256),(9156,7309),(9995,4732),(3634,7110),(8262,468),(2515,5905),(6845,1674),(5851,4860),(9810,4432),(4484,3171),(7723,3309),(4086,5527),(2226,7085),(7036,7956),(1692,2130),(10565,7178)
4,(9594,237),(8660,2350),(4571,7949),(12705,170),(11525,2452),(4085,2063),(8655,7146),(367,1739),(14117,8042),(6182,1875),(1789,3661),(7704,6271),(9144,7634),(10006,4483),(3710,7110),(8262,793),(2838,5934),(7452,1368),(6176,4860),(9485,4411),(4410,3344),(7785,3220),(4050,5203),(2485,7177),(6712,7954),(1745,2451),(10352,7181)
5,(9967,231),(9032,2343),(4199,7932),(12333,182),(11322,2232),(4107,2432),(8283,7146),(216,414),(13744,8037),(6251,2059),(1422,3717),(8076,6280),(9500,7650),(9989,4855),(4082,7110),(8262,1166),(2982,5947),(6743,1340),(6395,4719),(9193,4308),(4781,3338),(7571,3524),(3680,5225),(2493,7548),(6340,7942),(1805,2818),(10724,7175)
6,(10320,225),(9187,2526),(3846,7916),(11980,194),(11583,2152),(4108,2183),(8197,7146),(371,1757),(13392,8032),(6127,1728),(1253,3914),(8118,5969),(9853,7650),(9974,5208),(4435,7110),(8262,1108),(2630,5916),(6889,1129),(6310,4860),(9177,3954),(4729,3335),(7459,3852),(3327,5231),(1458,7092),(5986,7931),(1546,2926),(11076,7171)
7,(10606,220),(9165,2768),(3560,7903),(11694,201),(11869,2144),(4081,1899),(8483,7146),(321,1475),(13105,8028),(6385,1716),(1273,4200),(8118,5684),(10139,7650),(10211,5247),(4633,7033),(8262,822),(2345,5890),(6810,858),(6025,4860),(9171,3669),(4634,3129),(7501,3642),(4050,5202),(2216,7913),(5700,7922),(1261,2956),(11362,7166)
8,(10996,213),(8894,2683),(3169,7902),(11304,208),(11643,2150),(4071,1508),(8874,7146),(278,1087),(12715,8023),(6777,1726),(1255,3941),(8118,5292),(10134,7650),(10452,5094),(4580,6646),(8262,432),(1956,5855),(6874,1015),(5634,4860),(8829,3618),(4608,2738),(7474,3253),(2651,5198),(1824,7929),(5921,7929),(872,2998),(11593,7343)
9,(11262,209),(8630,2701),(2904,7902),(11038,213),(11378,2157),(4044,1244),(9139,7146),(253,823),(12450,8020),(6840,1929),(1174,3746),(7925,5230),(9869,7650),(10443,4828),(4544,6383),(8140,285),(1728,5652),(6880,1277),(5620,5124),(9039,3618),(4592,2531),(7452,2988),(2388,5178),(1644,7936),(6187,7938),(625,3003),(11621,7606)
