26,0.77333,1.45911,0.652812,1,0.946667,1,0.48
时间1,(8046,4104),(7416,1116),(5634,4860),(9162,7992),(11574,7164),(9954,4230),(13050,2088),(13068,2430),(13266,5292),(7740,2340),(7740,2340),(6858,2664),(6390,4086),(8064,7146),(6408,4860),(4104,5868),(4626,5814),(1692,5832),(4194,5238),(1854,1008),(432,2106),(3132,2916),(6642,270),(4068,1386),(6408,1278),(5166,2934)
时间2,(8379.29,4098.71),(7084.43,1081.7),(5562,4608),(9495.34,7992),(11905.5,7129.46),(10287.3,4230),(13032.9,1755.1),(13050.5,2097.12),(13243,4959.46),(8073.14,2351.49),(8073.14,2351.49),(6840.48,2331.12),(6408,3852),(8086.17,6813.4),(6390,4662),(4104,5688),(4554,5634),(1728,5652),(4525.57,5203.7),(2158.61,872.619),(764.464,2081.91),(2798.7,2911.43),(6975.34,270),(4013.2,1057.2),(6531.8,968.505),(5158.59,2600.75)
时间3,(8712.59,4093.42),(6894,1062),(5634,4860),(9630,7992),(12237.1,7094.93),(10422,4230),(13015.9,1422.2),(13050,2088),(13220,4626.92),(8262,2358),(8262,2358),(6840,2322),(6390,4086),(8100,6606),(6408,4860),(3850.91,5904.93),(4258.26,5787.79),(1692,5832),(4716,5184),(2178,864),(1096.93,2057.82),(2465.39,2906.87),(7308.67,270),(3960,738),(6624,738),(5151.19,2267.49)
时间4,(9045.88,4088.13),(6876,1350),(5508,4878),(9963.32,7994.95),(12568.6,7060.39),(10088.7,4230),(12998.8,1089.3),(12717.1,2104.37),(13197,4294.38),(8595.27,2351.59),(7928.86,2346.51),(7171.97,2352.18),(6408,3852),(8118,6282),(6374.83,5191.68),(3726,6012),(4104,5868),(1728,5652),(4384.43,5218.3),(1873.39,999.381),(1429.39,2033.73),(2132.09,2902.3),(7434,270),(4293.34,738),(6546.21,413.868),(5148,2124)
时间5,(9180,4086),(6844.4,1681.83),(5634,4860),(10296.6,7997.9),(12900.2,7025.86),(9954,4230),(12981.7,756.406),(12384.1,2120.75),(13174,3961.84),(8928.55,2345.18),(7740,2340),(7434,2376),(6728,3758.67),(8118,5948.66),(6372,5220),(3661.66,6339.07),(4104,5688),(1692,5832),(4194,5238),(1854,1008),(1674,2016),(1818,2898),(7100.66,270),(4626.67,738),(6516,288),(5155.41,2457.25)
时间6,(9198,4392),(6840,1728),(5562,4608),(10630,8000.85),(13231.7,6991.32),(10287.3,4230),(12978,684),(12051.2,2137.12),(13151,3629.29),(9198,2340),(8073.14,2351.49),(7443.8,2709.19),(6840,3726),(8118,5615.33),(6372,5553.34),(3597.32,6666.13),(4067.19,5356.7),(1728,5652),(4050,5202),(1748.59,1324.23),(1341.54,2040.09),(2151.3,2902.57),(6767.33,270),(4960.01,738),(6642,270),(5162.81,2790.51)
时间7,(9180,4086),(6871.6,1396.17),(5775.4,4351.92),(10963.3,8003.8),(13302,6984),(10422,4230),(12966.5,350.862),(11952,2142),(13128,3296.75),(9198,2006.66),(8262,2358),(7452,2988),(6520,3819.33),(8118,5281.99),(6372,5886.67),(3532.98,6993.2),(4050,5202),(2059.35,5615.69),(4194,5238),(1643.18,1640.46),(1009.07,2064.18),(2484.61,2907.13),(6642,270),(5293.34,738),(6725.65,592.668),(5166,2934)
时间8,(8846.71,4091.29),(6876,1350),(5832,4284),(11296.6,8006.75),(13629.2,6920.16),(10433.9,4563.12),(12960,162),(11618.8,2151.26),(13105,2964.21),(9198,1673.33),(8595.27,2351.59),(7147.39,2852.62),(6408,3852),(8118,5220),(6372,6210),(3510,7110),(4086.81,5533.3),(2390.7,5579.37),(4104,5004),(1638,1656),(676.607,2088.27),(2817.91,2911.7),(6725.65,592.668),(5626.68,738),(6768,756),(5148,3168)
时间9,(8513.41,4096.58),(6894,1062),(5922,4050),(11629.9,8009.7),(13956.3,6856.33),(10445.8,4896.25),(12626.8,173.105),(11304,2160),(13082,2631.67),(9198,1494),(8928.55,2345.18),(7128,2844),(6642,3852),(7785.12,5237.52),(6039.01,6225.14),(3517.57,7443.25),(4104,5688),(2722.06,5543.06),(4194,5238),(1671.17,1987.68),(432,2106),(3132,2916),(6768,756),(5832,738),(6684.35,433.332),(5166,2934)
时间10,(8180.12,4101.87),(6768,756),(5616,4050),(11664,8010),(14040,6840),(10457.7,5229.37),(12293.7,184.21),(11376,2448),(13068,2430),(9084.45,1180.6),(9198,2340),(7432.61,2979.38),(6408,3852),(7452.25,5255.04),(5706.02,6240.27),(3525.15,7776.5),(4104,5868),(3042,5508),(4050,5202),(1674,2016),(374.539,1777.65),(2798.7,2911.43),(6684.35,433.332),(5498.66,738),(6642,270),(5148,3168)
时间11,(8046,4104),(7100.82,737.51),(5508,4068),(11628.7,7678.53),(14373.3,6840),(10458,5238),(11960.5,195.315),(11304,2160),(13091,2762.54),(8970.9,867.201),(9180,2664),(7452,2988),(6112.72,4006.67),(7434,5256),(5580,6246),(3528,7902),(3888,6066),(3042,5220),(3717.31,5222.79),(1727.71,2344.98),(317.079,1449.31),(2465.39,2906.87),(6642,270),(5165.33,738),(6516,288),(4950,3186)
时间12,(8379.29,4098.71),(7416,720),(5292,4284),(11593.5,7347.07),(14418,6840),(10790.9,5255.52),(11880,198),(11231.7,1834.6),(13114,3095.08),(8857.35,553.802),(8847.43,2686.55),(7442.2,2654.81),(6030,4050),(7766.88,5238.48),(5593.88,6579.05),(3520.43,7568.75),(4158,6084),(2709.18,5201.51),(3474,5238),(1781.42,2673.96),(306,1386),(2132.09,2902.3),(6975.34,270),(4831.99,738),(6182.66,288),(5148,3168)
时间13,(8712.59,4093.42),(7429.32,386.93),(5472,4356),(11574,7164),(14084.7,6840),(11123.8,5273.04),(11880,531.336),(11159.4,1509.2),(13137,3427.62),(8748,252),(8514.85,2709.09),(7434,2376),(5994,4356),(8099.75,5220.96),(5607.75,6912.09),(3512.85,7235.5),(4104,5868),(2394,5184),(3140.95,5224.12),(1818,2898),(275.267,1054.08),(1818,2898),(7308.67,270),(4498.66,738),(5849.33,288),(5166,3330)
