   列号   行号   纬度   经度
    451    451  36.28  39.28
    451    452  36.27  39.38
    451    453  36.26  39.49
    451    454  36.26  39.60
    451    455  36.25  39.71
    451    456  36.24  39.81
    451    457  36.23  39.92
    451    458  36.22  40.02
    451    459  36.22  40.13
    451    460  36.21  40.24
    451    461  36.20  40.34
    451    462  36.19  40.44
    451    463  36.18  40.55
    451    464  36.18  40.65
    451    465  36.17  40.76
    451    466  36.16  40.86
    451    467  36.15  40.96
    451    468  36.15  41.07
    451    469  36.14  41.17
    451    470  36.13  41.27
    451    471  36.12  41.37
    451    472  36.12  41.47
    451    473  36.11  41.57
    451    474  36.10  41.67
    451    475  36.09  41.77
    451    476  36.09  41.87
    451    477  36.08  41.97
    451    478  36.07  42.07
    451    479  36.07  42.17
    451    480  36.06  42.27
    451    481  36.05  42.37
    451    482  36.04  42.47
    451    483  36.04  42.57
    451    484  36.03  42.67
    451    485  36.02  42.76
    451    486  36.02  42.86
    451    487  36.01  42.96
    451    488  36.00  43.06
    451    489  36.00  43.15
    451    490  35.99  43.25
    451    491  35.98  43.34
    451    492  35.98  43.44
    451    493  35.97  43.54
    451    494  35.96  43.63
    451    495  35.96  43.73
    451    496  35.95  43.82
    451    497  35.94  43.92
    451    498  35.94  44.01
    451    499  35.93  44.10
    451    500  35.92  44.20
    451    501  35.92  44.29
    451    502  35.91  44.38
    451    503  35.90  44.48
    451    504  35.90  44.57
    451    505  35.89  44.66
    451    506  35.88  44.76
    451    507  35.88  44.85
    451    508  35.87  44.94
    451    509  35.87  45.03
    451    510  35.86  45.12
    451    511  35.85  45.21
    451    512  35.85  45.31
    451    513  35.84  45.40
    451    514  35.83  45.49
    451    515  35.83  45.58
    451    516  35.82  45.67
    451    517  35.82  45.76
    451    518  35.81  45.85
    451    519  35.80  45.94
    451    520  35.80  46.03
    451    521  35.79  46.12
    451    522  35.79  46.21
    451    523  35.78  46.29
    451    524  35.77  46.38
    451    525  35.77  46.47
    451    526  35.76  46.56
    451    527  35.76  46.65
    451    528  35.75  46.74
    451    529  35.75  46.82
    451    530  35.74  46.91
    451    531  35.73  47.00
    451    532  35.73  47.09
    451    533  35.72  47.17
    451    534  35.72  47.26
    451    535  35.71  47.35
    451    536  35.71  47.43
    451    537  35.70  47.52
    451    538  35.69  47.61
    451    539  35.69  47.69
    451    540  35.68  47.78
    451    541  35.68  47.86
    451    542  35.67  47.95
    451    543  35.67  48.03
    451    544  35.66  48.12
    451    545  35.66  48.20
    451    546  35.65  48.29
    451    547  35.64  48.37
    451    548  35.64  48.46
    451    549  35.63  48.54
    451    550  35.63  48.63
    452    451  36.21  39.34
    452    452  36.20  39.45
    452    453  36.19  39.56
    452    454  36.19  39.66
    452    455  36.18  39.77
    452    456  36.17  39.88
    452    457  36.16  39.98
    452    458  36.15  40.09
    452    459  36.15  40.19
    452    460  36.14  40.30
    452    461  36.13  40.40
    452    462  36.12  40.51
    452    463  36.12  40.61
    452    464  36.11  40.72
    452    465  36.10  40.82
    452    466  36.09  40.92
    452    467  36.09  41.02
    452    468  36.08  41.13
    452    469  36.07  41.23
    452    470  36.06  41.33
    452    471  36.06  41.43
    452    472  36.05  41.53
    452    473  36.04  41.63
    452    474  36.03  41.73
    452    475  36.03  41.83
    452    476  36.02  41.93
    452    477  36.01  42.03
    452    478  36.00  42.13
    452    479  36.00  42.23
    452    480  35.99  42.33
    452    481  35.98  42.43
    452    482  35.98  42.53
    452    483  35.97  42.63
    452    484  35.96  42.72
    452    485  35.96  42.82
    452    486  35.95  42.92
    452    487  35.94  43.01
    452    488  35.94  43.11
    452    489  35.93  43.21
    452    490  35.92  43.30
    452    491  35.91  43.40
    452    492  35.91  43.50
    452    493  35.90  43.59
    452    494  35.89  43.69
    452    495  35.89  43.78
    452    496  35.88  43.87
    452    497  35.88  43.97
    452    498  35.87  44.06
    452    499  35.86  44.16
    452    500  35.86  44.25
    452    501  35.85  44.34
    452    502  35.84  44.44
    452    503  35.84  44.53
    452    504  35.83  44.62
    452    505  35.82  44.72
    452    506  35.82  44.81
    452    507  35.81  44.90
    452    508  35.80  44.99
    452    509  35.80  45.08
    452    510  35.79  45.17
    452    511  35.79  45.27
    452    512  35.78  45.36
    452    513  35.77  45.45
    452    514  35.77  45.54
    452    515  35.76  45.63
    452    516  35.76  45.72
    452    517  35.75  45.81
    452    518  35.74  45.90
    452    519  35.74  45.99
    452    520  35.73  46.08
    452    521  35.73  46.17
    452    522  35.72  46.25
    452    523  35.71  46.34
    452    524  35.71  46.43
    452    525  35.70  46.52
    452    526  35.70  46.61
    452    527  35.69  46.70
    452    528  35.68  46.78
    452    529  35.68  46.87
    452    530  35.67  46.96
    452    531  35.67  47.05
    452    532  35.66  47.13
    452    533  35.66  47.22
    452    534  35.65  47.31
    452    535  35.64  47.39
    452    536  35.64  47.48
    452    537  35.63  47.57
    452    538  35.63  47.65
    452    539  35.62  47.74
    452    540  35.62  47.82
    452    541  35.61  47.91
