     经度     纬度      角度       风速
     46.00    -40.00    237.82    185.68
     47.00    -40.00      0.00      0.00
     48.00    -40.00      0.00      0.00
     49.00    -40.00      0.00      0.00
     50.00    -40.00      0.00      0.00
     51.00    -40.00    175.01     30.71
     52.00    -40.00    337.65     77.84
     53.00    -40.00    187.42     31.80
     54.00    -40.00    164.10     32.00
     55.00    -40.00    163.79     32.48
     56.00    -40.00    173.54     28.06
     57.00    -40.00    170.80     24.48
     58.00    -40.00    158.96     30.72
     59.00    -40.00    158.02     27.27
     60.00    -40.00    166.89     22.90
     61.00    -40.00    160.13     24.62
     62.00    -40.00    162.89     25.51
     63.00    -40.00    169.03     21.98
     64.00    -40.00      0.00      0.00
     65.00    -40.00      0.00      0.00
     66.00    -40.00      0.00      0.00
     67.00    -40.00      0.00      0.00
     68.00    -40.00      0.00      0.00
     69.00    -40.00      0.00      0.00
     70.00    -40.00      0.00      0.00
     71.00    -40.00      0.00      0.00
     72.00    -40.00      0.00      0.00
     73.00    -40.00      0.00      0.00
     74.00    -40.00      0.00      0.00
     75.00    -40.00      0.00      0.00
     76.00    -40.00      0.00      0.00
     77.00    -40.00      0.00      0.00
     78.00    -40.00      0.00      0.00
     79.00    -40.00      0.00      0.00
     80.00    -40.00      0.00      0.00
     81.00    -40.00      0.00      0.00
     82.00    -40.00    348.85      8.11
     83.00    -40.00     21.91      9.20
     84.00    -40.00     26.94      5.25
     85.00    -40.00     41.41      6.59
     86.00    -40.00     51.22      8.08
     87.00    -40.00     85.97     11.18
     88.00    -40.00     64.43     11.28
     89.00    -40.00     53.99      7.85
     90.00    -40.00    116.09     19.74
     91.00    -40.00    316.36     86.52
     92.00    -40.00    112.66     14.59
     93.00    -40.00    300.46     13.28
     94.00    -40.00    279.20     38.85
     95.00    -40.00    139.99     10.84
     96.00    -40.00    126.42     16.30
     97.00    -40.00    117.44     14.67
     98.00    -40.00    116.54     18.70
     99.00    -40.00      0.00      0.00
    100.00    -40.00      0.00      0.00
    101.00    -40.00      0.00      0.00
    102.00    -40.00      0.00      0.00
    103.00    -40.00      0.00      0.00
    104.00    -40.00    113.82     29.41
    105.00    -40.00    116.83     42.49
    106.00    -40.00    118.48     35.68
    107.00    -40.00    121.02     38.31
    108.00    -40.00    113.27     35.20
    109.00    -40.00    114.27     29.49
    110.00    -40.00    117.04     33.66
    111.00    -40.00    114.01     22.53
    112.00    -40.00    109.51     24.76
    113.00    -40.00    121.19     31.02
    114.00    -40.00      0.26     45.92
    115.00    -40.00    303.03    102.75
    116.00    -40.00    126.93    145.85
    117.00    -40.00    276.03     50.04
    118.00    -40.00    124.61     29.63
    119.00    -40.00    132.42     23.48
    120.00    -40.00    139.30     26.12
    121.00    -40.00    135.65     27.73
    122.00    -40.00    131.42     30.32
    123.00    -40.00    127.31     25.68
    124.00    -40.00    134.95     28.15
