     经度     纬度      角度        风速
     46.00    -40.00    182.67     23.08
     47.00    -40.00      0.00      0.00
     48.00    -40.00      0.00      0.00
     49.00    -40.00      0.00      0.00
     50.00    -40.00      0.00      0.00
     51.00    -40.00    186.48     26.98
     52.00    -40.00    219.09    147.95
     53.00    -40.00    183.90     35.77
     54.00    -40.00    164.10     32.00
     55.00    -40.00    170.45     31.93
     56.00    -40.00    173.54     28.06
     57.00    -40.00    168.65     28.88
     58.00    -40.00    159.35     26.19
     59.00    -40.00    157.63     36.36
     60.00    -40.00    290.01     48.10
     61.00    -40.00    159.44     29.17
     62.00    -40.00    162.89     25.51
     63.00    -40.00    166.62     26.46
     64.00    -40.00      0.00      0.00
     65.00    -40.00      0.00      0.00
     66.00    -40.00      0.00      0.00
     67.00    -40.00      0.00      0.00
     68.00    -40.00      0.00      0.00
     69.00    -40.00      0.00      0.00
     70.00    -40.00      0.00      0.00
     71.00    -40.00      0.00      0.00
     72.00    -40.00      0.00      0.00
     73.00    -40.00      0.00      0.00
     74.00    -40.00      0.00      0.00
     75.00    -40.00      0.00      0.00
     76.00    -40.00      0.00      0.00
     77.00    -40.00      0.00      0.00
     78.00    -40.00      0.00      0.00
     79.00    -40.00      0.00      0.00
     80.00    -40.00      0.00      0.00
     81.00    -40.00      0.00      0.00
     82.00    -40.00     16.39      3.92
     83.00    -40.00     37.03      5.39
     84.00    -40.00     78.88      2.29
     85.00    -40.00     41.41      6.59
     86.00    -40.00     82.53      6.32
     87.00    -40.00     85.97     11.18
     88.00    -40.00     64.43     11.28
     89.00    -40.00     53.99      7.85
     90.00    -40.00    292.32     45.00
     91.00    -40.00    193.15     44.29
     92.00    -40.00    329.61     62.35
     93.00    -40.00     20.35     77.71
     94.00    -40.00    352.99     89.89
     95.00    -40.00    139.99     10.84
     96.00    -40.00    126.42     16.30
     97.00    -40.00    129.06     17.51
     98.00    -40.00    121.01     16.01
     99.00    -40.00      0.00      0.00
    100.00    -40.00      0.00      0.00
    101.00    -40.00      0.00      0.00
    102.00    -40.00      0.00      0.00
    103.00    -40.00      0.00      0.00
    104.00    -40.00    117.79     35.12
    105.00    -40.00    118.66     39.58
    106.00    -40.00    121.11     41.74
    107.00    -40.00    121.02     38.31
    108.00    -40.00    118.52     38.26
    109.00    -40.00    120.28     32.69
    110.00    -40.00    119.52     30.57
    111.00    -40.00    125.48     22.91
    112.00    -40.00    131.40    126.32
    113.00    -40.00    121.19     31.02
    114.00    -40.00    164.24     27.60
    115.00    -40.00    299.30     69.10
    116.00    -40.00    137.63     29.45
    117.00    -40.00    275.86     53.69
    118.00    -40.00    276.45     55.37
    119.00    -40.00    132.42     23.48
    120.00    -40.00    141.55     31.02
    121.00    -40.00    143.53     29.80
    122.00    -40.00    123.15     29.15
    123.00    -40.00    131.17     30.53
    124.00    -40.00    134.95     28.15
    125.00    -40.00    132.50     30.03
    126.00    -40.00    116.74     27.14
     46.00    -39.00      0.00      0.00
     47.00    -39.00      0.00      0.00
     48.00    -39.00      0.00      0.00
     49.00    -39.00    187.16     25.19
     50.00    -39.00      0.00      0.00
     51.00    -39.00    198.40     49.72
     52.00    -39.00    180.57     37.50
     53.00    -39.00    170.77     41.91
     54.00    -39.00    280.57     30.21
     55.00    -39.00    166.69     38.78
     56.00    -39.00    159.74     22.96
     57.00    -39.00    245.46     41.83
     58.00    -39.00    169.32     27.77
     59.00    -39.00    150.37     36.20
     60.00    -39.00    172.65     25.19
     61.00    -39.00      0.00      0.00
     62.00    -39.00      0.00      0.00
     63.00    -39.00      0.00      0.00
     64.00    -39.00      0.00      0.00
     65.00    -39.00      0.00      0.00
     66.00    -39.00      0.00      0.00
     67.00    -39.00      0.00      0.00
     68.00    -39.00      0.00      0.00
     69.00    -39.00      0.00      0.00
     70.00    -39.00      0.00      0.00
     71.00    -39.00      0.00      0.00
     72.00    -39.00      0.00      0.00
     73.00    -39.00      0.00      0.00
     74.00    -39.00      0.00      0.00
     75.00    -39.00      0.00      0.00
     76.00    -39.00      0.00      0.00
