   经度     纬度     角度    风速
     46.00    -40.00    274.76     80.99
     47.00    -40.00      0.00      0.00
     48.00    -40.00      0.00      0.00
     49.00    -40.00      0.00      0.00
     50.00    -40.00      0.00      0.00
     51.00    -40.00    320.78     74.75
     52.00    -40.00    102.25     47.57
     53.00    -40.00    152.65     33.65
     54.00    -40.00    163.34     36.47
     55.00    -40.00     25.30     79.48
     56.00    -40.00    180.41     84.53
     57.00    -40.00    143.15     18.83
     58.00    -40.00    149.96     47.00
     59.00    -40.00    158.02     27.27
     60.00    -40.00    185.49     97.56
     61.00    -40.00    174.96     45.10
     62.00    -40.00    199.87     41.14
     63.00    -40.00    179.43     43.29
     64.00    -40.00      0.00      0.00
     65.00    -40.00      0.00      0.00
     66.00    -40.00      0.00      0.00
     67.00    -40.00      0.00      0.00
     68.00    -40.00      0.00      0.00
     69.00    -40.00      0.00      0.00
     70.00    -40.00      0.00      0.00
     71.00    -40.00      0.00      0.00
     72.00    -40.00      0.00      0.00
     73.00    -40.00      0.00      0.00
     74.00    -40.00      0.00      0.00
     75.00    -40.00      0.00      0.00
     76.00    -40.00      0.00      0.00
     77.00    -40.00      0.00      0.00
     78.00    -40.00      0.00      0.00
     79.00    -40.00      0.00      0.00
     80.00    -40.00      0.00      0.00
     81.00    -40.00      0.00      0.00
     82.00    -40.00    140.17     22.61
     83.00    -40.00    215.65     58.50
     84.00    -40.00     88.53     19.70
     85.00    -40.00     63.15      1.54
     86.00    -40.00    128.10     26.29
     87.00    -40.00    133.88     35.88
     88.00    -40.00     86.48     10.27
     89.00    -40.00    154.59      8.96
     90.00    -40.00    143.46    120.05
     91.00    -40.00     30.49     71.70
     92.00    -40.00     61.91     49.41
     93.00    -40.00    130.23     30.12
     94.00    -40.00     34.77     86.70
     95.00    -40.00    302.04     81.67
     96.00    -40.00    136.90     25.10
     97.00    -40.00    156.71     11.70
     98.00    -40.00    113.22     21.48
     99.00    -40.00      0.00      0.00
    100.00    -40.00      0.00      0.00
    101.00    -40.00      0.00      0.00
    102.00    -40.00      0.00      0.00
    103.00    -40.00      0.00      0.00
    104.00    -40.00    322.42     73.94
    105.00    -40.00    116.83     42.49
    106.00    -40.00    141.67    143.43
    107.00    -40.00    119.33    111.73
    108.00    -40.00    106.34     54.36
    109.00    -40.00    131.30    102.53
    110.00    -40.00    127.73     70.26
    111.00    -40.00    170.95     87.55
    112.00    -40.00    138.15     33.98
    113.00    -40.00    120.43     71.31
    114.00    -40.00    356.91     75.44
    115.00    -40.00     25.76     85.73
    116.00    -40.00    116.64     65.75
    117.00    -40.00    121.22     73.27
    118.00    -40.00    267.61     54.83
    119.00    -40.00    125.68     53.29
    120.00    -40.00    124.39     54.99
    121.00    -40.00    183.39     43.73
    122.00    -40.00    127.07     66.93
    123.00    -40.00    134.60     62.35
    124.00    -40.00    172.31     80.30
    125.00    -40.00    179.01    100.81
    126.00    -40.00    108.45     44.61
     46.00    -39.00      0.00      0.00
     47.00    -39.00      0.00      0.00
     48.00    -39.00      0.00      0.00
     49.00    -39.00    202.25     46.68
     50.00    -39.00      0.00      0.00
     51.00    -39.00    199.19     96.74
     52.00    -39.00    358.99     74.18
     53.00    -39.00    169.46     46.23
     54.00    -39.00    133.73     39.65
     55.00    -39.00     58.20    111.44
     56.00    -39.00    271.46     64.82
     57.00    -39.00     39.69    120.65
     58.00    -39.00    161.24    111.96
     59.00    -39.00    340.89     77.17
     60.00    -39.00    301.71     69.99
     61.00    -39.00      0.00      0.00
     62.00    -39.00      0.00      0.00
     63.00    -39.00      0.00      0.00
     64.00    -39.00      0.00      0.00
     65.00    -39.00      0.00      0.00
     66.00    -39.00      0.00      0.00
     67.00    -39.00      0.00      0.00
     68.00    -39.00      0.00      0.00
     69.00    -39.00      0.00      0.00
     70.00    -39.00      0.00      0.00
     71.00    -39.00      0.00      0.00
     72.00    -39.00      0.00      0.00
     73.00    -39.00      0.00      0.00
     74.00    -39.00      0.00      0.00
     75.00    -39.00      0.00      0.00
     76.00    -39.00      0.00      0.00
     77.00    -39.00      0.00      0.00
     78.00    -39.00      0.00      0.00
     79.00    -39.00      0.00      0.00
     80.00    -39.00      0.00      0.00
     81.00    -39.00      0.00      0.00
     82.00    -39.00    218.25    119.61
     83.00    -39.00      2.14      5.22
     84.00    -39.00    140.59     19.55
     85.00    -39.00    157.31     20.66
     86.00    -39.00    148.22     12.49
     87.00    -39.00    115.56     24.85
     88.00    -39.00    156.63     16.28
     89.00    -39.00    152.92    113.00
     90.00    -39.00    248.51     30.67
     91.00    -39.00    104.74     68.82
     92.00    -39.00    106.70     31.11
     93.00    -39.00    170.22     17.79
     94.00    -39.00    121.91     11.52
     95.00    -39.00    203.26     84.77
     96.00    -39.00    156.76     36.47
     97.00    -39.00      0.00      0.00
     98.00    -39.00      0.00      0.00
     99.00    -39.00      0.00      0.00
    100.00    -39.00      0.00      0.00
    101.00    -39.00      0.00      0.00
    102.00    -39.00    131.35     61.64
    103.00    -39.00    282.29     53.53
    104.00    -39.00    138.79    150.01
    105.00    -39.00    164.85     96.47
    106.00    -39.00    266.06     11.04
    107.00    -39.00    117.65     60.05
    108.00    -39.00    135.45     46.92
    109.00    -39.00    197.81     74.53
    110.00    -39.00    276.99     66.27
    111.00    -39.00     24.23     32.82
    112.00    -39.00    299.36     35.13
    113.00    -39.00    353.56     74.74
    114.00    -39.00    229.73     22.81
    115.00    -39.00    122.73     58.28
    116.00    -39.00    139.43     49.91
    117.00    -39.00    258.05     19.49
    118.00    -39.00    131.28     71.72
    119.00    -39.00    111.98     57.99
    120.00    -39.00    124.80     33.35
    121.00    -39.00    331.76     97.32
    122.00    -39.00    230.60     77.97
    123.00    -39.00    116.56     44.70
    124.00    -39.00    126.64     63.84
    125.00    -39.00    159.62     50.78
    126.00    -39.00    119.38     72.85
     46.00    -38.00      0.00      0.00
     47.00    -38.00      0.00      0.00
     48.00    -38.00      0.00      0.00
     49.00    -38.00      0.00      0.00
     50.00    -38.00      0.00      0.00
     51.00    -38.00    131.20     62.56
     52.00    -38.00    226.78     39.10
     53.00    -38.00    276.19     42.65
     54.00    -38.00    144.63     57.92
     55.00    -38.00    171.68     41.83
     56.00    -38.00    341.08     23.79
     57.00    -38.00    163.18     43.96
     58.00    -38.00     40.74     24.72
     59.00    -38.00    155.39     51.95
     60.00    -38.00     40.04     82.39
     61.00    -38.00     93.22     48.24
     62.00    -38.00      0.00      0.00
     63.00    -38.00      0.00      0.00
     64.00    -38.00      0.00      0.00
     65.00    -38.00      0.00      0.00
     66.00    -38.00      0.00      0.00
     67.00    -38.00      0.00      0.00
     68.00    -38.00      0.00      0.00
     69.00    -38.00      0.00      0.00
     70.00    -38.00      0.00      0.00
     71.00    -38.00      0.00      0.00
     72.00    -38.00      0.00      0.00
     73.00    -38.00      0.00      0.00
     74.00    -38.00      0.00      0.00
     75.00    -38.00      0.00      0.00
     76.00    -38.00      0.00      0.00
     77.00    -38.00      0.00      0.00
     78.00    -38.00      0.00      0.00
     79.00    -38.00      0.00      0.00
     80.00    -38.00      0.00      0.00
     81.00    -38.00      0.00      0.00
     82.00    -38.00    195.80      3.98
     83.00    -38.00    156.10     12.48
     84.00    -38.00    148.05     37.06
     85.00    -38.00     60.76     27.69
     86.00    -38.00    317.90     45.29
     87.00    -38.00    159.33     46.53
     88.00    -38.00    118.18      5.75
     89.00    -38.00    142.32     19.27
     90.00    -38.00      0.00      0.00
     91.00    -38.00    138.20     10.69
     92.00    -38.00      0.00      0.00
     93.00    -38.00      0.00      0.00
     94.00    -38.00      0.00      0.00
     95.00    -38.00      0.00      0.00
     96.00    -38.00      0.00      0.00
     97.00    -38.00      0.00      0.00
     98.00    -38.00      0.00      0.00
     99.00    -38.00      0.00      0.00
    100.00    -38.00    110.53     84.79
    101.00    -38.00    115.55     60.74
    102.00    -38.00    122.46     34.84
    103.00    -38.00    113.71     42.61
    104.00    -38.00    126.23     53.92
    105.00    -38.00    129.98     46.06
    106.00    -38.00    132.10     41.20
    107.00    -38.00    152.26     42.63
