纬度       经度      角度（北顺）   速度（米/秒）   压强 （毫巴）
40         48         76.40          15.47         750.0 
40         49         76.40          15.47         750.0 
40         52        287.32          49.12           1.0 
40         54         89.91          23.65         500.0 
40         55         74.13          26.65         600.0 
40         60         79.43          19.89         700.0 
40         75         89.98           4.73         850.0 
40         76        123.21          13.23         950.0 
40         81        125.19          25.15         975.0 
40         85        124.64          19.12         500.0 
40         87         71.25          11.29           3.0 
40         88        121.47          20.81         550.0 
40         89        234.41          37.36         750.0 
40         92        117.72          15.57         700.0 
40         94         89.96           9.46         700.0 
40         96         89.96           9.46         700.0 
40         97         89.96           9.46         700.0 
40        100        108.66          11.30         950.0 
40        103         82.72          29.03         900.0 
40        104         89.94          14.19         750.0 
40        110        243.50          88.82         650.0 
40        111        242.34          38.95         750.0 
40        116         89.98           4.73         700.0 
40        117         76.40          15.47         700.0 
40        119         89.98           4.73         700.0 
40        120         76.40          15.47         750.0 
40        122         89.98           4.73         700.0 
40        126         89.92          18.92         800.0 
39         46         61.50           7.82         750.0 
39         47        260.62          44.99         750.0 
39         51         55.72          13.25         600.0 
39         55         70.84          22.81         550.0 
39         56         61.35          62.44         650.0 
39         59         70.84          22.81         650.0 
39         61         70.88          11.41         800.0 
39         79        126.35          25.17         900.0 
39         82        126.35          25.17         750.0 
39         85        125.77          19.14         450.0 
39         86        118.44          15.65           3.0 
39         90        246.91          18.99         700.0 
39         91        118.46           7.82         700.0 
39         93        103.71          15.68         650.0 
39         96        118.46           7.82         925.0 
39         97        118.46           7.82         975.0 
39         98         79.26          20.16         925.0 
39        101         89.92          19.20         925.0 
39        102         89.96           9.60         800.0 
39        103         89.94          14.40         650.0 
39        104         79.26          20.16         600.0 
39        105         81.24          24.76         550.0 
39        108         89.92          19.20         700.0 
39        114         76.16          15.66         700.0 
39        116         76.16          15.66         600.0 
39        117         89.96           9.60         600.0 
39        120        286.26          53.86         500.0 
39        123        235.25          58.85         650.0 
39        126         76.16          15.66         700.0 
38         52        248.78          42.16         350.0 
38         56         66.29          19.11         650.0 
38         57         64.56          26.85         550.0 
38         61         54.69          13.27         700.0 
38         64        242.95          50.43         925.0 
38         74         89.98           4.87         850.0 
38         88        125.28          13.28         800.0 
38         90         89.98           4.87         975.0 
38         91        119.17           7.87         925.0 
38         94        128.39           6.18         950.0 
38        100         78.93          61.16         750.0 
38        101         89.96           9.73         650.0 
38        102         79.10          20.41         700.0 
38        103         89.94          14.60         800.0 
38        104         89.96           9.73         800.0 
38        105         81.11          25.09         950.0 
38        106         89.94          14.60         800.0 
38        115         89.98           4.87         650.0 
38        120         75.94          15.84         650.0 
38        123         89.98           4.87         700.0 
38        125        125.23          53.15         700.0 
38        126         89.94          14.60         700.0 
37         48         60.08           7.90         750.0 
37         49         70.17          11.63         750.0 
37         52         60.04          23.70           3.0 
37         53         60.04          23.70         450.0 
37         55         60.04          23.70         650.0 
37         56         65.81          19.26         550.0 
37         58         75.72          16.03           1.5 
37         59         70.17          11.63         550.0 
37         82         72.29          39.13         450.0 
37         83        126.31          13.30         350.0 
37         89         89.98           4.93         975.0 
37         93         89.96           9.87        1000.0 
37         97         89.98           4.93         650.0 
37         98         89.98           4.93         650.0 
37         99         89.98           4.93         650.0 
37        101         89.98           4.93         700.0 
37        104        235.81          42.02         850.0 
37        108        301.22          91.61         700.0 
37        110        240.26          55.43         700.0 
37        113         89.96           9.87         750.0 
37        115         89.98           4.93         700.0 
37        116         70.17          11.63         700.0 
37        119         80.99          25.41         650.0 
37        120         70.17          11.63         700.0 
36         49         89.98           5.00         700.0 
36         51         56.92          89.18         500.0 
36         52         49.27          61.97         500.0 
36         53         52.63          13.32         500.0 
36         57        300.63          15.88         400.0 
36         61         69.83          11.74         600.0 
36         76        255.62          16.22         850.0 
36         79        232.66          13.33         750.0 
