(38.865, 36.325)	(38.974, 36.317)	(39.083, 36.308)	(39.192, 36.300)	(39.300, 36.292)	(39.408, 36.284)	(39.515, 36.276)	(39.622, 36.268)	(39.729, 36.260)	(39.835, 36.252)	(39.941, 36.244)	(40.047, 36.236)	(40.152, 36.228)	(40.257, 36.220)	(40.362, 36.213)	(40.466, 36.205)	(40.570, 36.197)	(40.674, 36.190)	(40.777, 36.182)	(40.880, 36.174)	(40.983, 36.167)	(41.085, 36.159)	(41.187, 36.152)	(41.289, 36.144)	(41.390, 36.137)	(41.491, 36.130)	(41.592, 36.122)	(41.693, 36.115)	(41.793, 36.108)	(41.893, 36.101)	(41.992, 36.093)	(42.092, 36.086)	(42.191, 36.079)	(42.290, 36.072)	(42.388, 36.065)	(42.487, 36.058)	(42.585, 36.051)	(42.682, 36.044)	(42.780, 36.037)	(42.877, 36.030)	(42.974, 36.023)	(43.071, 36.016)	(43.167, 36.009)	(43.263, 36.003)	(43.359, 35.996)	(43.455, 35.989)	(43.550, 35.982)	(43.645, 35.976)	(43.740, 35.969)	(43.835, 35.962)	(43.929, 35.956)	(44.024, 35.949)	(44.118, 35.943)	(44.211, 35.936)	(44.305, 35.930)	(44.398, 35.923)	(44.491, 35.917)	(44.584, 35.910)	(44.676, 35.904)	(44.769, 35.898)	(44.861, 35.891)	(44.953, 35.885)	(45.045, 35.879)	(45.136, 35.873)	(45.227, 35.866)	(45.318, 35.860)	(45.409, 35.854)	(45.500, 35.848)	(45.590, 35.842)	(45.681, 35.836)	(45.771, 35.830)	(45.860, 35.823)	(45.950, 35.817)	(46.040, 35.811)	(46.129, 35.805)	(46.218, 35.800)	(46.307, 35.794)	(46.395, 35.788)	(46.484, 35.782)	(46.572, 35.776)	(46.660, 35.770)	(46.748, 35.764)	(46.836, 35.759)	(46.923, 35.753)	(47.010, 35.747)	(47.098, 35.741)	(47.185, 35.736)	(47.271, 35.730)	(47.358, 35.724)	(47.444, 35.719)	(47.531, 35.713)	(47.617, 35.707)	(47.703, 35.702)	(47.788, 35.696)	(47.874, 35.691)	(47.959, 35.685)	(48.045, 35.680)	(48.130, 35.674)	(48.215, 35.669)	(48.299, 35.663)	
(38.933, 36.256)	(39.042, 36.247)	(39.151, 36.239)	(39.259, 36.231)	(39.367, 36.223)	(39.474, 36.215)	(39.581, 36.207)	(39.688, 36.199)	(39.794, 36.191)	(39.900, 36.183)	(40.006, 36.175)	(40.111, 36.167)	(40.216, 36.160)	(40.321, 36.152)	(40.425, 36.144)	(40.529, 36.136)	(40.633, 36.129)	(40.736, 36.121)	(40.839, 36.114)	(40.942, 36.106)	(41.044, 36.098)	(41.146, 36.091)	(41.248, 36.084)	(41.350, 36.076)	(41.451, 36.069)	(41.552, 36.061)	(41.652, 36.054)	(41.752, 36.047)	(41.852, 36.040)	(41.952, 36.033)	(42.051, 36.025)	(42.150, 36.018)	(42.249, 36.011)	(42.348, 36.004)	(42.446, 35.997)	(42.544, 35.990)	(42.642, 35.983)	(42.739, 35.976)	(42.837, 35.969)	(42.934, 35.962)	(43.030, 35.955)	(43.127, 35.949)	(43.223, 35.942)	(43.319, 35.935)	(43.414, 35.928)	(43.510, 35.922)	(43.605, 35.915)	(43.700, 35.908)	(43.795, 35.902)	(43.889, 35.895)	(43.983, 35.889)	(44.077, 35.882)	(44.171, 35.876)	(44.264, 35.869)	(44.358, 35.863)	(44.451, 35.856)	(44.544, 35.850)	(44.636, 35.843)	(44.729, 35.837)	(44.821, 35.831)	(44.913, 35.824)	(45.004, 35.818)	(45.096, 35.812)	(45.187, 35.806)	(45.278, 35.800)	(45.369, 35.793)	(45.460, 35.787)	(45.550, 35.781)	(45.640, 35.775)	(45.730, 35.769)	(45.820, 35.763)	(45.910, 35.757)	(45.999, 35.751)	(46.088, 35.745)	(46.177, 35.739)	(46.266, 35.733)	(46.355, 35.727)	(46.443, 35.721)	(46.532, 35.715)	(46.620, 35.710)	(46.708, 35.704)	(46.795, 35.698)	(46.883, 35.692)	(46.970, 35.687)	(47.057, 35.681)	(47.144, 35.675)	(47.231, 35.669)	(47.318, 35.664)	(47.404, 35.658)	(47.490, 35.653)	(47.576, 35.647)	(47.662, 35.641)	(47.748, 35.636)	(47.834, 35.630)	(47.919, 35.625)	(48.004, 35.619)	(48.089, 35.614)	(48.174, 35.608)	(48.259, 35.603)	(48.343, 35.598)	
(39.001, 36.187)	(39.110, 36.178)	(39.218, 36.170)	(39.326, 36.162)	(39.433, 36.154)	(39.540, 36.146)	(39.647, 36.138)	(39.753, 36.130)	(39.859, 36.122)	(39.965, 36.114)	(40.070, 36.106)	(40.175, 36.099)	(40.280, 36.091)	(40.384, 36.083)	(40.488, 36.076)	(40.592, 36.068)	(40.695, 36.060)	(40.798, 36.053)	(40.901, 36.045)	(41.004, 36.038)	(41.106, 36.030)	(41.207, 36.023)	(41.309, 36.015)	(41.410, 36.008)	(41.511, 36.001)	(41.611, 35.993)	(41.712, 35.986)	(41.812, 35.979)	(41.911, 35.972)	(42.011, 35.965)	(42.110, 35.957)	(42.209, 35.950)	(42.307, 35.943)	(42.406, 35.936)	(42.504, 35.929)	(42.601, 35.922)	(42.699, 35.915)	(42.796, 35.909)	(42.893, 35.902)	(42.990, 35.895)	(43.086, 35.888)	(43.182, 35.881)	(43.278, 35.874)	(43.374, 35.868)	(43.469, 35.861)	(43.565, 35.854)	(43.659, 35.848)	(43.754, 35.841)	(43.849, 35.835)	(43.943, 35.828)	(44.037, 35.821)	(44.130, 35.815)	(44.224, 35.808)	(44.317, 35.802)	(44.410, 35.796)	(44.503, 35.789)	(44.596, 35.783)	(44.688, 35.777)	(44.780, 35.770)	(44.872, 35.764)	(44.964, 35.758)	(45.055, 35.751)	(45.147, 35.745)	(45.238, 35.739)	(45.329, 35.733)	(45.419, 35.727)	(45.510, 35.721)	(45.600, 35.715)	(45.690, 35.708)	(45.780, 35.702)	(45.869, 35.696)	(45.959, 35.690)	(46.048, 35.684)	(46.137, 35.679)	(46.226, 35.673)	(46.315, 35.667)	(46.403, 35.661)	(46.491, 35.655)	(46.579, 35.649)	(46.667, 35.643)	(46.755, 35.638)	(46.842, 35.632)	(46.930, 35.626)	(47.017, 35.620)	(47.104, 35.615)	(47.191, 35.609)	(47.277, 35.603)	(47.364, 35.598)	(47.450, 35.592)	(47.536, 35.587)	(47.622, 35.581)	(47.708, 35.575)	(47.793, 35.570)	(47.879, 35.564)	(47.964, 35.559)	(48.049, 35.554)	(48.134, 35.548)	(48.218, 35.543)	(48.303, 35.537)	(48.387, 35.532)	
(39.068, 36.118)	(39.177, 36.109)	(39.284, 36.101)	(39.392, 36.093)	(39.499, 36.085)	(39.606, 36.077)	(39.712, 36.069)	(39.818, 36.061)	(39.924, 36.054)	(40.029, 36.046)	(40.134, 36.038)	(40.239, 36.030)	(40.343, 36.022)	(40.447, 36.015)	(40.551, 36.007)	(40.654, 36.000)	(40.758, 35.992)	(40.860, 35.984)	(40.963, 35.977)	(41.065, 35.970)	(41.167, 35.962)	(41.268, 35.955)	(41.369, 35.947)	(41.470, 35.940)	(41.571, 35.933)	(41.671, 35.926)	(41.771, 35.918)	(41.871, 35.911)	(41.970, 35.904)	(42.069, 35.897)	(42.168, 35.890)	(42.267, 35.883)	(42.365, 35.876)	(42.463, 35.869)	(42.561, 35.862)	(42.658, 35.855)	(42.755, 35.848)	(42.852, 35.841)	(42.949, 35.834)	(43.046, 35.827)	(43.142, 35.821)	(43.238, 35.814)	(43.333, 35.807)	(43.429, 35.800)	(43.524, 35.794)	(43.619, 35.787)	(43.714, 35.781)	(43.808, 35.774)	(43.902, 35.767)	(43.996, 35.761)	(44.090, 35.754)	(44.183, 35.748)	(44.277, 35.742)	(44.370, 35.735)	(44.463, 35.729)	(44.555, 35.722)	(44.648, 35.716)	(44.740, 35.710)	(44.832, 35.703)	(44.923, 35.697)	(45.015, 35.691)	(45.106, 35.685)	(45.197, 35.679)	(45.288, 35.672)	(45.379, 35.666)	(45.469, 35.660)	(45.559, 35.654)	(45.649, 35.648)	(45.739, 35.642)	(45.829, 35.636)	(45.918, 35.630)	(46.008, 35.624)	(46.097, 35.618)	(46.185, 35.612)	(46.274, 35.606)	(46.362, 35.600)	(46.451, 35.595)	(46.539, 35.589)	(46.627, 35.583)	(46.714, 35.577)	(46.802, 35.571)	(46.889, 35.566)	(46.976, 35.560)	(47.063, 35.554)	(47.150, 35.549)	(47.237, 35.543)	(47.323, 35.537)	(47.409, 35.532)	(47.495, 35.526)	(47.581, 35.521)	(47.667, 35.515)	(47.753, 35.510)	(47.838, 35.504)	(47.923, 35.499)	(48.008, 35.493)	(48.093, 35.488)	(48.178, 35.482)	(48.262, 35.477)	(48.347, 35.472)	(48.431, 35.466)	
(39.135, 36.049)	(39.243, 36.041)	(39.351, 36.032)	(39.458, 36.024)	(39.565, 36.016)	(39.671, 36.009)	(39.777, 36.001)	(39.883, 35.993)	(39.988, 35.985)	(40.093, 35.977)	(40.198, 35.969)	(40.302, 35.962)	(40.406, 35.954)	(40.510, 35.946)	(40.613, 35.939)	(40.717, 35.931)	(40.819, 35.924)	(40.922, 35.916)	(41.024, 35.909)	(41.126, 35.901)	(41.227, 35.894)	(41.328, 35.887)	(41.429, 35.879)	(41.530, 35.872)	(41.630, 35.865)	(41.730, 35.858)	(41.830, 35.851)	(41.929, 35.843)	(42.028, 35.836)	(42.127, 35.829)	(42.226, 35.822)	(42.324, 35.815)	(42.422, 35.808)	(42.520, 35.801)	(42.617, 35.794)	(42.715, 35.787)	(42.812, 35.781)	(42.908, 35.774)	(43.005, 35.767)	(43.101, 35.760)	(43.197, 35.753)	(43.293, 35.747)	(43.388, 35.740)	(43.483, 35.733)	(43.578, 35.727)	(43.673, 35.720)	(43.767, 35.714)	(43.862, 35.707)	(43.956, 35.700)	(44.049, 35.694)	(44.143, 35.687)	(44.236, 35.681)	(44.329, 35.675)	(44.422, 35.668)	(44.515, 35.662)	(44.607, 35.656)	(44.699, 35.649)	(44.791, 35.643)	(44.883, 35.637)	(44.974, 35.631)	(45.066, 35.624)	(45.157, 35.618)	(45.248, 35.612)	(45.338, 35.606)	(45.429, 35.600)	(45.519, 35.594)	(45.609, 35.588)	(45.699, 35.582)	(45.788, 35.576)	(45.878, 35.570)	(45.967, 35.564)	(46.056, 35.558)	(46.145, 35.552)	(46.233, 35.546)	(46.322, 35.540)	(46.410, 35.534)	(46.498, 35.528)	(46.586, 35.523)	(46.674, 35.517)	(46.761, 35.511)	(46.849, 35.505)	(46.936, 35.500)	(47.023, 35.494)	(47.110, 35.488)	(47.196, 35.483)	(47.283, 35.477)	(47.369, 35.472)	(47.455, 35.466)	(47.541, 35.460)	(47.626, 35.455)	(47.712, 35.449)	(47.797, 35.444)	(47.883, 35.438)	(47.968, 35.433)	(48.053, 35.428)	(48.137, 35.422)	(48.222, 35.417)	(48.306, 35.411)	(48.390, 35.406)	(48.474, 35.401)	
(39.202, 35.980)	(39.309, 35.972)	(39.416, 35.964)	(39.523, 35.956)	(39.630, 35.948)	(39.736, 35.940)	(39.842, 35.932)	(39.947, 35.924)	(40.052, 35.917)	(40.157, 35.909)	(40.261, 35.901)	(40.365, 35.893)	(40.469, 35.886)	(40.572, 35.878)	(40.675, 35.871)	(40.778, 35.863)	(40.881, 35.856)	(40.983, 35.848)	(41.085, 35.841)	(41.186, 35.834)	(41.287, 35.826)	(41.388, 35.819)	(41.489, 35.812)	(41.589, 35.804)	(41.689, 35.797)	(41.789, 35.790)	(41.888, 35.783)	(41.987, 35.776)	(42.086, 35.769)	(42.185, 35.762)	(42.283, 35.755)	(42.381, 35.748)	(42.479, 35.741)	(42.577, 35.734)	(42.674, 35.727)	(42.771, 35.720)	(42.868, 35.713)	(42.964, 35.706)	(43.060, 35.700)	(43.156, 35.693)	(43.252, 35.686)	(43.347, 35.680)	(43.443, 35.673)	(43.537, 35.666)	(43.632, 35.660)	(43.727, 35.653)	(43.821, 35.647)	(43.915, 35.640)	(44.009, 35.634)	(44.102, 35.627)	(44.195, 35.621)	(44.289, 35.614)	(44.381, 35.608)	(44.474, 35.602)	(44.566, 35.595)	(44.658, 35.589)	(44.750, 35.583)	(44.842, 35.576)	(44.934, 35.570)	(45.025, 35.564)	(45.116, 35.558)	(45.207, 35.552)	(45.298, 35.546)	(45.388, 35.539)	(45.478, 35.533)	(45.568, 35.527)	(45.658, 35.521)	(45.748, 35.515)	(45.837, 35.509)	(45.926, 35.503)	(46.015, 35.497)	(46.104, 35.492)	(46.193, 35.486)	(46.281, 35.480)	(46.370, 35.474)	(46.458, 35.468)	(46.546, 35.462)	(46.633, 35.457)	(46.721, 35.451)	(46.808, 35.445)	(46.895, 35.440)	(46.982, 35.434)	(47.069, 35.428)	(47.155, 35.423)	(47.242, 35.417)	(47.328, 35.411)	(47.414, 35.406)	(47.500, 35.400)	(47.586, 35.395)	(47.671, 35.389)	(47.757, 35.384)	(47.842, 35.378)	(47.927, 35.373)	(48.012, 35.367)	(48.097, 35.362)	(48.181, 35.357)	(48.266, 35.351)	(48.350, 35.346)	(48.434, 35.341)	(48.518, 35.335)	
(39.268, 35.911)	(39.375, 35.903)	(39.482, 35.895)	(39.588, 35.887)	(39.694, 35.879)	(39.800, 35.872)	(39.906, 35.864)	(40.011, 35.856)	(40.115, 35.848)	(40.220, 35.841)	(40.324, 35.833)	(40.428, 35.825)	(40.531, 35.818)	(40.634, 35.810)	(40.737, 35.803)	(40.839, 35.795)	(40.942, 35.788)	(41.043, 35.780)	(41.145, 35.773)	(41.246, 35.766)	(41.347, 35.758)	(41.448, 35.751)	(41.548, 35.744)	(41.648, 35.737)	(41.748, 35.730)	(41.847, 35.722)	(41.946, 35.715)	(42.045, 35.708)	(42.144, 35.701)	(42.242, 35.694)	(42.340, 35.687)	(42.438, 35.680)	(42.536, 35.673)	(42.633, 35.666)	(42.730, 35.660)	(42.827, 35.653)	(42.923, 35.646)	(43.019, 35.639)	(43.115, 35.633)	(43.211, 35.626)	(43.306, 35.619)	(43.402, 35.613)	(43.497, 35.606)	(43.591, 35.599)	(43.686, 35.593)	(43.780, 35.586)	(43.874, 35.580)	(43.968, 35.573)	(44.061, 35.567)	(44.155, 35.560)	(44.248, 35.554)	(44.341, 35.548)	(44.433, 35.541)	(44.526, 35.535)	(44.618, 35.529)	(44.710, 35.522)	(44.801, 35.516)	(44.893, 35.510)	(44.984, 35.504)	(45.075, 35.498)	(45.166, 35.491)	(45.257, 35.485)	(45.347, 35.479)	(45.437, 35.473)	(45.528, 35.467)	(45.617, 35.461)	(45.707, 35.455)	(45.796, 35.449)	(45.886, 35.443)	(45.975, 35.437)	(46.064, 35.431)	(46.152, 35.426)	(46.241, 35.420)	(46.329, 35.414)	(46.417, 35.408)	(46.505, 35.402)	(46.593, 35.396)	(46.680, 35.391)	(46.767, 35.385)	(46.854, 35.379)	(46.941, 35.374)	(47.028, 35.368)	(47.115, 35.362)	(47.201, 35.357)	(47.287, 35.351)	(47.374, 35.346)	(47.459, 35.340)	(47.545, 35.335)	(47.631, 35.329)	(47.716, 35.324)	(47.801, 35.318)	(47.886, 35.313)	(47.971, 35.307)	(48.056, 35.302)	(48.140, 35.297)	(48.225, 35.291)	(48.309, 35.286)	(48.393, 35.280)	(48.477, 35.275)	(48.561, 35.270)	
(39.333, 35.843)	(39.440, 35.835)	(39.547, 35.827)	(39.653, 35.819)	(39.759, 35.811)	(39.864, 35.803)	(39.969, 35.796)	(40.074, 35.788)	(40.178, 35.780)	(40.283, 35.772)	(40.386, 35.765)	(40.490, 35.757)	(40.593, 35.750)	(40.696, 35.742)	(40.798, 35.735)	(40.900, 35.727)	(41.002, 35.720)	(41.104, 35.713)	(41.205, 35.705)	(41.306, 35.698)	(41.407, 35.691)	(41.507, 35.684)	(41.607, 35.676)	(41.707, 35.669)	(41.806, 35.662)	(41.905, 35.655)	(42.004, 35.648)	(42.103, 35.641)	(42.201, 35.634)	(42.299, 35.627)	(42.397, 35.620)	(42.495, 35.613)	(42.592, 35.606)	(42.689, 35.599)	(42.786, 35.593)	(42.882, 35.586)	(42.978, 35.579)	(43.074, 35.572)	(43.170, 35.566)	(43.266, 35.559)	(43.361, 35.552)	(43.456, 35.546)	(43.550, 35.539)	(43.645, 35.532)	(43.739, 35.526)	(43.833, 35.519)	(43.927, 35.513)	(44.020, 35.507)	(44.114, 35.500)	(44.207, 35.494)	(44.300, 35.487)	(44.392, 35.481)	(44.485, 35.475)	(44.577, 35.468)	(44.669, 35.462)	(44.761, 35.456)	(44.852, 35.450)	(44.943, 35.444)	(45.034, 35.437)	(45.125, 35.431)	(45.216, 35.425)	(45.306, 35.419)	(45.397, 35.413)	(45.487, 35.407)	(45.577, 35.401)	(45.666, 35.395)	(45.756, 35.389)	(45.845, 35.383)	(45.934, 35.377)	(46.023, 35.371)	(46.111, 35.365)	(46.200, 35.360)	(46.288, 35.354)	(46.376, 35.348)	(46.464, 35.342)	(46.552, 35.336)	(46.639, 35.331)	(46.727, 35.325)	(46.814, 35.319)	(46.901, 35.314)	(46.987, 35.308)	(47.074, 35.302)	(47.160, 35.297)	(47.247, 35.291)	(47.333, 35.286)	(47.419, 35.280)	(47.504, 35.275)	(47.590, 35.269)	(47.675, 35.264)	(47.760, 35.258)	(47.845, 35.253)	(47.930, 35.247)	(48.015, 35.242)	(48.100, 35.236)	(48.184, 35.231)	(48.268, 35.226)	(48.352, 35.220)	(48.436, 35.215)	(48.520, 35.210)	(48.603, 35.205)	
(39.398, 35.774)	(39.505, 35.766)	(39.611, 35.758)	(39.717, 35.751)	(39.822, 35.743)	(39.928, 35.735)	(40.032, 35.727)	(40.137, 35.720)	(40.241, 35.712)	(40.345, 35.704)	(40.448, 35.697)	(40.551, 35.689)	(40.654, 35.682)	(40.757, 35.674)	(40.859, 35.667)	(40.961, 35.660)	(41.062, 35.652)	(41.164, 35.645)	(41.265, 35.638)	(41.365, 35.630)	(41.466, 35.623)	(41.566, 35.616)	(41.665, 35.609)	(41.765, 35.602)	(41.864, 35.595)	(41.963, 35.588)	(42.062, 35.581)	(42.160, 35.574)	(42.258, 35.567)	(42.356, 35.560)	(42.454, 35.553)	(42.551, 35.546)	(42.648, 35.539)	(42.745, 35.532)	(42.841, 35.525)	(42.937, 35.519)	(43.033, 35.512)	(43.129, 35.505)	(43.224, 35.499)	(43.320, 35.492)	(43.415, 35.485)	(43.509, 35.479)	(43.604, 35.472)	(43.698, 35.466)	(43.792, 35.459)	(43.886, 35.453)	(43.980, 35.446)	(44.073, 35.440)	(44.166, 35.434)	(44.259, 35.427)	(44.351, 35.421)	(44.444, 35.415)	(44.536, 35.408)	(44.628, 35.402)	(44.720, 35.396)	(44.811, 35.390)	(44.902, 35.383)	(44.994, 35.377)	(45.084, 35.371)	(45.175, 35.365)	(45.266, 35.359)	(45.356, 35.353)	(45.446, 35.347)	(45.536, 35.341)	(45.625, 35.335)	(45.715, 35.329)	(45.804, 35.323)	(45.893, 35.317)	(45.982, 35.311)	(46.071, 35.305)	(46.159, 35.299)	(46.247, 35.294)	(46.335, 35.288)	(46.423, 35.282)	(46.511, 35.276)	(46.598, 35.271)	(46.686, 35.265)	(46.773, 35.259)	(46.860, 35.254)	(46.947, 35.248)	(47.033, 35.242)	(47.120, 35.237)	(47.206, 35.231)	(47.292, 35.226)	(47.378, 35.220)	(47.463, 35.215)	(47.549, 35.209)	(47.634, 35.204)	(47.720, 35.198)	(47.805, 35.193)	(47.889, 35.187)	(47.974, 35.182)	(48.059, 35.177)	(48.143, 35.171)	(48.227, 35.166)	(48.311, 35.161)	(48.395, 35.155)	(48.479, 35.150)	(48.563, 35.145)	(48.646, 35.140)	
(39.463, 35.706)	(39.569, 35.698)	(39.675, 35.690)	(39.781, 35.683)	(39.886, 35.675)	(39.991, 35.667)	(40.095, 35.659)	(40.199, 35.652)	(40.303, 35.644)	(40.407, 35.637)	(40.510, 35.629)	(40.613, 35.622)	(40.715, 35.614)	(40.817, 35.607)	(40.919, 35.599)	(41.021, 35.592)	(41.122, 35.585)	(41.223, 35.577)	(41.324, 35.570)	(41.424, 35.563)	(41.524, 35.556)	(41.624, 35.549)	(41.724, 35.541)	(41.823, 35.534)	(41.922, 35.527)	(42.020, 35.520)	(42.119, 35.513)	(42.217, 35.506)	(42.315, 35.499)	(42.412, 35.493)	(42.510, 35.486)	(42.607, 35.479)	(42.703, 35.472)	(42.800, 35.465)	(42.896, 35.459)	(42.992, 35.452)	(43.088, 35.445)	(43.183, 35.438)	(43.279, 35.432)	(43.374, 35.425)	(43.468, 35.419)	(43.563, 35.412)	(43.657, 35.406)	(43.751, 35.399)	(43.845, 35.393)	(43.938, 35.386)	(44.032, 35.380)	(44.125, 35.373)	(44.218, 35.367)	(44.310, 35.361)	(44.403, 35.354)	(44.495, 35.348)	(44.587, 35.342)	(44.679, 35.336)	(44.770, 35.330)	(44.861, 35.323)	(44.953, 35.317)	(45.043, 35.311)	(45.134, 35.305)	(45.225, 35.299)	(45.315, 35.293)	(45.405, 35.287)	(45.495, 35.281)	(45.584, 35.275)	(45.674, 35.269)	(45.763, 35.263)	(45.852, 35.257)	(45.941, 35.251)	(46.030, 35.245)	(46.118, 35.239)	(46.206, 35.234)	(46.294, 35.228)	(46.382, 35.222)	(46.470, 35.216)	(46.557, 35.211)	(46.645, 35.205)	(46.732, 35.199)	(46.819, 35.194)	(46.906, 35.188)	(46.992, 35.182)	(47.079, 35.177)	(47.165, 35.171)	(47.251, 35.166)	(47.337, 35.160)	(47.423, 35.155)	(47.508, 35.149)	(47.593, 35.144)	(47.679, 35.138)	(47.764, 35.133)	(47.849, 35.127)	(47.933, 35.122)	(48.018, 35.117)	(48.102, 35.111)	(48.186, 35.106)	(48.270, 35.101)	(48.354, 35.095)	(48.438, 35.090)	(48.522, 35.085)	(48.605, 35.080)	(48.688, 35.074)	
(39.527, 35.638)	(39.633, 35.630)	(39.739, 35.622)	(39.844, 35.614)	(39.949, 35.607)	(40.053, 35.599)	(40.158, 35.591)	(40.261, 35.584)	(40.365, 35.576)	(40.468, 35.569)	(40.571, 35.561)	(40.674, 35.554)	(40.776, 35.546)	(40.878, 35.539)	(40.979, 35.532)	(41.081, 35.524)	(41.182, 35.517)	(41.282, 35.510)	(41.383, 35.503)	(41.483, 35.496)	(41.583, 35.488)	(41.682, 35.481)	(41.781, 35.474)	(41.880, 35.467)	(41.979, 35.460)	(42.077, 35.453)	(42.175, 35.446)	(42.273, 35.439)	(42.371, 35.432)	(42.468, 35.426)	(42.565, 35.419)	(42.662, 35.412)	(42.759, 35.405)	(42.855, 35.398)	(42.951, 35.392)	(43.047, 35.385)	(43.142, 35.378)	(43.237, 35.372)	(43.332, 35.365)	(43.427, 35.359)	(43.522, 35.352)	(43.616, 35.346)	(43.710, 35.339)	(43.804, 35.333)	(43.897, 35.326)	(43.991, 35.320)	(44.084, 35.313)	(44.177, 35.307)	(44.269, 35.301)	(44.362, 35.294)	(44.454, 35.288)	(44.546, 35.282)	(44.638, 35.276)	(44.729, 35.270)	(44.820, 35.263)	(44.911, 35.257)	(45.002, 35.251)	(45.093, 35.245)	(45.184, 35.239)	(45.274, 35.233)	(45.364, 35.227)	(45.454, 35.221)	(45.543, 35.215)	(45.633, 35.209)	(45.722, 35.203)	(45.811, 35.197)	(45.900, 35.191)	(45.989, 35.185)	(46.077, 35.180)	(46.165, 35.174)	(46.253, 35.168)	(46.341, 35.162)	(46.429, 35.156)	(46.516, 35.151)	(46.604, 35.145)	(46.691, 35.139)	(46.778, 35.134)	(46.865, 35.128)	(46.951, 35.122)	(47.038, 35.117)	(47.124, 35.111)	(47.210, 35.106)	(47.296, 35.100)	(47.382, 35.095)	(47.467, 35.089)	(47.552, 35.084)	(47.638, 35.078)	(47.723, 35.073)	(47.808, 35.068)	(47.892, 35.062)	(47.977, 35.057)	(48.061, 35.051)	(48.145, 35.046)	(48.229, 35.041)	(48.313, 35.036)	(48.397, 35.030)	(48.481, 35.025)	(48.564, 35.020)	(48.647, 35.015)	(48.730, 35.009)	
