纬度 经度 角度(北顺) 速度(m/s) 压强(毫巴)
40.00 46.00 277.30 6.16 398.17
40.00 47.00 283.02 5.65 529.92
40.00 48.00 280.31 12.74 633.78
40.00 49.00 268.63 15.48 683.20
40.00 50.00 268.26 11.70 505.14
40.00 51.00 270.73 15.35 457.38
40.00 52.00 259.59 16.06 657.85
40.00 53.00 269.62 7.80 752.24
40.00 54.00 253.67 11.22 746.98
40.00 55.00 253.75 11.36 640.14
40.00 56.00 251.92 10.84 628.61
40.00 57.00 247.69 9.78 498.75
40.00 58.00 240.68 21.62 397.80
40.00 59.00 240.97 22.56 344.88
40.00 60.00 244.79 25.81 385.02
40.00 61.00 243.08 25.85 374.64
40.00 62.00 240.43 25.55 467.24
40.00 63.00 251.86 10.63 409.17
40.00 64.00 250.29 12.17 457.92
40.00 69.00 284.30 15.00 502.55
40.00 70.00 267.91 21.12 475.83
40.00 71.00 272.84 13.99 360.61
40.00 72.00 277.51 19.02 427.67
40.00 73.00 273.02 7.20 562.05
40.00 74.00 288.40 5.74 507.75
40.00 85.00 272.05 15.89 566.62
40.00 86.00 272.46 14.98 564.98
40.00 87.00 276.54 5.40 536.51
40.00 88.00 276.42 4.48 576.32
40.00 124.00 68.45 6.01 654.75
39.00 46.00 282.62 8.74 448.59
39.00 47.00 288.21 7.50 496.52
39.00 48.00 288.09 9.48 495.48
39.00 49.00 272.11 15.56 699.39
39.00 50.00 273.09 15.17 788.53
39.00 51.00 274.02 13.92 595.20
39.00 52.00 261.11 13.76 495.89
39.00 53.00 249.54 7.39 628.97
39.00 54.00 250.64 7.59 594.29
39.00 55.00 235.55 10.91 602.28
39.00 56.00 242.19 12.77 658.97
39.00 57.00 235.15 11.40 350.60
39.00 58.00 244.43 21.63 435.88
39.00 59.00 243.60 21.95 362.30
39.00 60.00 241.64 21.84 455.48
39.00 61.00 238.44 21.38 476.17
39.00 62.00 244.83 19.22 552.53
39.00 63.00 238.79 17.96 544.32
39.00 64.00 253.63 11.35 535.07
39.00 69.00 274.62 15.33 441.25
39.00 70.00 280.38 17.44 447.37
39.00 71.00 265.57 19.78 395.74
38.00 46.00 281.82 9.37 637.53
38.00 47.00 288.01 7.39 605.74
38.00 48.00 288.97 8.64 589.58
38.00 49.00 291.35 8.92 733.13
38.00 50.00 288.14 12.06 807.21
38.00 52.00 256.36 10.53 821.21
38.00 53.00 257.38 10.78 838.51
38.00 54.00 246.68 6.84 770.89
38.00 55.00 253.69 9.03 726.94
38.00 56.00 234.96 11.11 511.83
38.00 57.00 256.26 11.37 411.41
38.00 58.00 244.87 14.97 403.44
38.00 59.00 242.22 21.32 359.18
38.00 60.00 238.99 20.67 380.04
38.00 61.00 240.08 22.27 520.39
38.00 62.00 239.26 16.89 541.86
38.00 63.00 243.49 20.31 473.60
38.00 64.00 248.87 26.17 479.23
38.00 65.00 251.37 22.38 325.76
38.00 66.00 260.50 27.39 380.25
38.00 69.00 275.48 7.37 410.24
38.00 70.00 279.31 18.00 453.50
38.00 71.00 264.91 19.74 430.54
38.00 106.00 4.04 7.71 751.34
38.00 123.00 43.24 4.83 1000.00
37.00 46.00 274.97 21.76 371.22
37.00 47.00 278.64 9.86 655.74
37.00 48.00 280.80 10.32 583.07
37.00 49.00 283.30 9.69 411.89
37.00 50.00 287.28 8.15 748.63
37.00 51.00 286.58 9.65 831.25
37.00 55.00 266.90 7.57 775.79
37.00 56.00 266.59 8.43 337.58
37.00 57.00 241.23 15.13 321.14
37.00 58.00 239.99 21.47 366.99
37.00 59.00 236.78 20.77 343.95
37.00 60.00 234.47 26.28 440.29
37.00 64.00 252.85 24.52 603.72
37.00 65.00 252.14 26.48 400.78
37.00 66.00 264.01 24.80 353.98
37.00 67.00 261.71 25.62 331.95
37.00 68.00 257.32 23.11 350.59
37.00 69.00 270.23 23.79 369.31
37.00 70.00 266.68 23.19 467.39
37.00 104.00 6.33 7.00 604.75
