,starttime,speed,volume,occupancy
0,starttime,speed,volume,occupancy
1,2009-01-01T00:00:00,58.22,19,1.93
2,2009-01-01T00:05:00,57.37,19,1.54
3,2009-01-01T00:10:00,129.0523684,24.5,1.47
4,2009-01-01T00:15:00,92.1961842,30,5.2964633125
5,2009-01-01T00:20:00,55.34,35,9.122926625
6,2009-01-01T00:25:00,56.45,74.68058711,2.73
7,2009-01-01T00:30:00,57.005,55.340293555,2.8
8,2009-01-01T00:35:00,57.56,45.6701467775,2.835
9,2009-01-01T00:40:00,121.740294,36,2.87
10,2009-01-01T00:45:00,89.540147,82.52351918,3.0
11,2009-01-01T00:50:00,57.34,38,3.13
12,2009-01-01T00:55:00,56.46,53.04285097,3.13
13,2009-01-01T01:00:00,56.275000000000006,60.564276455000005,2.4
14,2009-01-01T01:05:00,56.182500000000005,68.08570194,2.935
15,2009-01-01T01:10:00,56.136250000000004,50.54285097,3.2025
16,2009-01-01T01:15:00,56.09,33,3.47
17,2009-01-01T01:20:00,56.4,30,2.47
18,2009-01-01T01:25:00,115.2140901,31,9.136100655
19,2009-01-01T01:30:00,127.6676092,28,2.27
20,2009-01-01T01:35:00,91.2038046,33.0,2
21,2009-01-01T01:40:00,54.74,38,2.8
22,2009-01-01T01:45:00,131.4386483,28.5,2.93
23,2009-01-01T01:50:00,94.96932415,19,2.5300000000000002
24,2009-01-01T01:55:00,58.5,21.0,2.13
25,2009-01-01T02:00:00,58.945,22.0,5.4055830905
26,2009-01-01T02:05:00,59.39,23,8.681166181
27,2009-01-01T02:10:00,57.78,27,10.34438472
28,2009-01-01T02:15:00,56.21,14,1.27
29,2009-01-01T02:20:00,57.33,21,1.4
30,2009-01-01T02:25:00,57.89,66.15918763,2.13
31,2009-01-01T02:30:00,58.45,43.079593815,1.665
32,2009-01-01T02:35:00,53.29,31.5397969075,1.4325
33,2009-01-01T02:40:00,58.3,20,1.3162500000000001
34,2009-01-01T02:45:00,56.64,22,1.2
35,2009-01-01T02:50:00,56.91,22,2.13
36,2009-01-01T02:55:00,55.69,53.57248262,0.93
37,2009-01-01T03:00:00,121.7595416,35.28624131,1.8
38,2009-01-01T03:05:00,58.29,17,1.13
39,2009-01-01T03:10:00,59.87,23,9.817541605
40,2009-01-01T03:15:00,62.33,15,5.0737708025
41,2009-01-01T03:20:00,142.2110177,10,0.33
42,2009-01-01T03:25:00,138.60513715000002,16,8.668233058
43,2009-01-01T03:30:00,134.9992566,22,8.921411229
44,2009-01-01T03:35:00,59.67,12,1.13
45,2009-01-01T03:40:00,59,5,0.2
46,2009-01-01T03:45:00,56.67,65.92806622,1.13
47,2009-01-01T03:50:00,56.3,20,1.53
48,2009-01-01T03:55:00,57.15,7,1.03
49,2009-01-01T04:00:00,58,10.0,0.53
50,2009-01-01T04:05:00,57,13,0.93
51,2009-01-01T04:10:00,53.5,14.5,1.03
52,2009-01-01T04:15:00,57.23,15.25,1.13
53,2009-01-01T04:20:00,57.349999999999994,16,4.727102069000001
54,2009-01-01T04:25:00,57.47,15,6.525653103500001
55,2009-01-01T04:30:00,59.575,17.0,8.324204138
56,2009-01-01T04:35:00,61.68,19,4.927102069
57,2009-01-01T04:40:00,57.65,16.5,1.53
58,2009-01-01T04:45:00,59.11,14,1.13
59,2009-01-01T04:50:00,60.57,16.5,1.1
60,2009-01-01T04:55:00,59.95,19,1.07
61,2009-01-01T05:00:00,56.54,13,7.038031237
62,2009-01-01T05:05:00,59.480000000000004,32.664489169999996,3.7540156185
63,2009-01-01T05:10:00,62.42,52.32897834,0.47
64,2009-01-01T05:15:00,58.45,22,1.77
65,2009-01-01T05:20:00,136.5671181,13,2.42
66,2009-01-01T05:25:00,58.31,80.61382748,3.07
67,2009-01-01T05:30:00,57.59,17,2.27
68,2009-01-01T05:35:00,59.96,23,1.47
69,2009-01-01T05:40:00,120.9548735,48.677249225,5.0368079745
70,2009-01-01T05:45:00,136.9825352,74.35449845,6.82021196175
71,2009-01-01T05:50:00,60.38,41.677249225,8.603615949
72,2009-01-01T05:55:00,124.7630454,25.3386246125,4.5368079745
73,2009-01-01T06:00:00,60.33,9,2.50340398725
74,2009-01-01T06:05:00,58.21,8.5,1.486701993625
75,2009-01-01T06:10:00,58.5,8,0.47
76,2009-01-01T06:15:00,58.195,17,1.53
77,2009-01-01T06:20:00,57.89,36,1.33
78,2009-01-01T06:25:00,61.57,21,1.13
79,2009-01-01T06:30:00,58.88,78.05520956,5.214925419
80,2009-01-01T06:35:00,59.0,27,9.299850838
81,2009-01-01T06:40:00,59.12,17,1.07
82,2009-01-01T06:45:00,129.7672177,15,0.73
83,2009-01-01T06:50:00,93.00360885,26,2.93
84,2009-01-01T06:55:00,56.24,18.5,1.47
85,2009-01-01T07:00:00,56.82,11,1.2
86,2009-01-01T07:05:00,57.325,22,1.07
87,2009-01-01T07:10:00,57.83,24,2.93
88,2009-01-01T07:15:00,54.5,69.03720894,0.93
89,2009-01-01T07:20:00,57.22,18,2.67
90,2009-01-01T07:25:00,131.0409491,26,2.27
91,2009-01-01T07:30:00,56,30,9.815699382
92,2009-01-01T07:35:00,56.24,29,9.6132981015
93,2009-01-01T07:40:00,56.73,29.0,9.410896821
94,2009-01-01T07:45:00,59.24,29,5.6054484105
95,2009-01-01T07:50:00,131.7018296,27,1.8
96,2009-01-01T07:55:00,58.03,33,2.87
97,2009-01-01T08:00:00,91.15950205,26,1.87
98,2009-01-01T08:05:00,124.2890041,28,2.07
99,2009-01-01T08:10:00,92.00950205,62.83791456,4.47
100,2009-01-01T08:15:00,59.73,80.25687184,10.09237163
101,2009-01-01T08:20:00,130.545234,97.67582912,10.97932705
102,2009-01-01T08:25:00,132.9380392,42,3.67
103,2009-01-01T08:30:00,59.93,37.5,9.536111074
104,2009-01-01T08:35:00,58.61,33,3
105,2009-01-01T08:40:00,132.9111431,34,2.87
106,2009-01-01T08:45:00,57.23,34.5,2.27
107,2009-01-01T08:50:00,60.63,35,2.935
108,2009-01-01T08:55:00,58.95,42,3.6
109,2009-01-01T09:00:00,58.81,47,4.67
110,2009-01-01T09:05:00,58.67,43,3.645
111,2009-01-01T09:10:00,61.46,26,2.62
112,2009-01-01T09:15:00,59.480000000000004,43,5.18
113,2009-01-01T09:20:00,57.5,46.5,3.67
114,2009-01-01T09:25:00,57.94,50,5
115,2009-01-01T09:30:00,96.6671576,50,4.4
116,2009-01-01T09:35:00,116.0307364,65,4.535
117,2009-01-01T09:40:00,135.3943152,53,4.67
118,2009-01-01T09:45:00,96.9421576,65,5.13
119,2009-01-01T09:50:00,58.49,64.5,5.47
120,2009-01-01T09:55:00,61.66,64.25,3.73
121,2009-01-01T10:00:00,122.0983071,64,6.6
122,2009-01-01T10:05:00,58.4,45,4.13
123,2009-01-01T10:10:00,60.56,66,6.73
124,2009-01-01T10:15:00,60.455,62,5.565
125,2009-01-01T10:20:00,60.35,79.955016985,4.9825
126,2009-01-01T10:25:00,57,97.91003397,4.4
127,2009-01-01T10:30:00,59.695,57,5.265000000000001
128,2009-01-01T10:35:00,62.39,66,6.13
129,2009-01-01T10:40:00,58.51,112.9891339,6.73
130,2009-01-01T10:45:00,60.12,77,6.67
131,2009-01-01T10:50:00,60.675,76.0,10.13244976
132,2009-01-01T10:55:00,61.23,75,13.59489952
133,2009-01-01T11:00:00,61.42,72.5,12.919405359999999
134,2009-01-01T11:05:00,61.150000000000006,70,12.2439112
135,2009-01-01T11:10:00,60.88,75,9.2219556
136,2009-01-01T11:15:00,59,65,6.2
137,2009-01-01T11:20:00,59.92,88,7.8
138,2009-01-01T11:25:00,59.47,83,7.335
139,2009-01-01T11:30:00,94.6073638,89.88282065,7.1025
140,2009-01-01T11:35:00,129.7447276,100.252704775,6.87
141,2009-01-01T11:40:00,125.0084244,110.6225889,6.54
142,2009-01-01T11:45:00,93.7492122,112.3031661,4.82
143,2009-01-01T11:50:00,62.49,113.9837433,13.55459906
144,2009-01-01T11:55:00,61.425,84.99187165000001,9.54229953
145,2009-01-01T12:00:00,60.36,56,5.53
146,2009-01-01T12:05:00,60.96,62.0,6.67
147,2009-01-01T12:10:00,58,68,7.67
148,2009-01-01T12:15:00,119.350221,127.2148682,8.17
149,2009-01-01T12:20:00,59.97,154.0557744,8.67
150,2009-01-01T12:25:00,122.1710336,80,6.8
151,2009-01-01T12:30:00,60.78,80.0,13.80947362
152,2009-01-01T12:35:00,60.82,80.0,10.40473681
153,2009-01-01T12:40:00,59.7,80,7
154,2009-01-01T12:45:00,60.275000000000006,71,5.73
155,2009-01-01T12:50:00,60.5625,74.5,12.5010763
156,2009-01-01T12:55:00,60.70625,78,6.93
157,2009-01-01T13:00:00,60.85,59,7.33
158,2009-01-01T13:05:00,59.27,78,7.73
159,2009-01-01T13:10:00,59.6,127.8907663,13.28529803
160,2009-01-01T13:15:00,59.82,87,8.2
161,2009-01-01T13:20:00,59.54,97.86770545,7.8
162,2009-01-01T13:25:00,59.4,103.301558175,8.345
163,2009-01-01T13:30:00,59.26,106.0184845375,8.6175
164,2009-01-01T13:35:00,61.37,107.37694771875,8.75375
165,2009-01-01T13:40:00,60.32,108.7354109,8.89
166,2009-01-01T13:45:00,59.27,66,7.07
167,2009-01-01T13:50:00,59.230000000000004,101,11.62
168,2009-01-01T13:55:00,59.19,112.3769682,6.27
169,2009-01-01T14:00:00,61.07,76,6.17
170,2009-01-01T14:05:00,60.89,87,6.12
171,2009-01-01T14:10:00,60.71,77.0,6.07
172,2009-01-01T14:15:00,133.8112113,67,6.87
173,2009-01-01T14:20:00,96.20060565,100.65676545,7.67
174,2009-01-01T14:25:00,77.395302825,134.3135309,6.87
175,2009-01-01T14:30:00,58.59,94.15676545,11.26129561
176,2009-01-01T14:35:00,57.61,54,13.456943415
177,2009-01-01T14:40:00,56.45,96.26961375,14.5547673175
178,2009-01-01T14:45:00,55.29,138.5392275,15.65259122
179,2009-01-01T14:50:00,128.0617486,74,6.73
180,2009-01-01T14:55:00,56.52,74.0,8.6
181,2009-01-01T15:00:00,60.89,74.0,7.56
182,2009-01-01T15:05:00,61.09,74,6.07
183,2009-01-01T15:10:00,59.79,79.5,9.07
184,2009-01-01T15:15:00,57.41,85,16.50653096
185,2009-01-01T15:20:00,56.665,80,7.93
186,2009-01-01T15:25:00,55.92,93,8.030000000000001
187,2009-01-01T15:30:00,56.56,85,8.13
188,2009-01-01T15:35:00,56.46,94,8.4
189,2009-01-01T15:40:00,126.0567663,87.0,7.9350000000000005
190,2009-01-01T15:45:00,91.92838315,83.5,7.702500000000001
191,2009-01-01T15:50:00,57.8,80,7.58625
192,2009-01-01T15:55:00,58.56,80,7.47
193,2009-01-01T16:00:00,56.035,52,8.629999999999999
194,2009-01-01T16:05:00,53.51,91,9.79
195,2009-01-01T16:10:00,57.13,144.6412913,9
196,2009-01-01T16:15:00,59.07,67,6
197,2009-01-01T16:20:00,92.7339959,78,6.53
198,2009-01-01T16:25:00,126.3979918,127.0213533,6.13
199,2009-01-01T16:30:00,59.74,86,8.07
200,2009-01-01T16:35:00,58.46,88.5,5.33
201,2009-01-01T16:40:00,58.355000000000004,91,8.53
202,2009-01-01T16:45:00,58.3025,49,6.6
203,2009-01-01T16:50:00,58.25,76,14.66386817
204,2009-01-01T16:55:00,134.1608769,63,10.096934085000001
205,2009-01-01T17:00:00,57.3,118.490273,5.53
206,2009-01-01T17:05:00,56.845,83,8.53
207,2009-01-01T17:10:00,56.39,83,14.62688292
208,2009-01-01T17:15:00,56.59,78,7.47
209,2009-01-01T17:20:00,56.63,134.6359127,8.73
210,2009-01-01T17:25:00,58.85,106.81795635,6.13
211,2009-01-01T17:30:00,57.27,79,6.83
212,2009-01-01T17:35:00,58.63,78,7.53
213,2009-01-01T17:40:00,59.22,71.0,10.71636411
214,2009-01-01T17:45:00,58.73,64,12.309546165
215,2009-01-01T17:50:00,57.42,74,13.90272822
216,2009-01-01T17:55:00,58.34,47,6
217,2009-01-01T18:00:00,57.75,67,6.5649999999999995
218,2009-01-01T18:05:00,57.455,58,6.8475
219,2009-01-01T18:10:00,57.16,128.1202978,7.13
220,2009-01-01T18:15:00,59.25,118.92387785,6.67
221,2009-01-01T18:20:00,58.39,109.7274579,5.37
222,2009-01-01T18:25:00,130.2159386,65,4.720000000000001
223,2009-01-01T18:30:00,59.46,57,4.07
224,2009-01-01T18:35:00,58.355000000000004,65,6.2
225,2009-01-01T18:40:00,57.25,72,13.42751536
226,2009-01-01T18:45:00,59.38,92.46363208,4.13
227,2009-01-01T18:50:00,58.900000000000006,50,11.3746191
228,2009-01-01T18:55:00,58.660000000000004,56.0,5.73
229,2009-01-01T19:00:00,58.42,62,12.40860588
230,2009-01-01T19:05:00,57.36,62.0,12.59333158
231,2009-01-01T19:10:00,56.285,62,5.33
232,2009-01-01T19:15:00,55.21,101.4701496,5.07
233,2009-01-01T19:20:00,56.715,56,5.07
234,2009-01-01T19:25:00,58.22,61.0,8.89240811
235,2009-01-01T19:30:00,57.18,66,12.71481622
236,2009-01-01T19:35:00,57.59,116.7925739,6.73
237,2009-01-01T19:40:00,59.15,96.06317434,5.15
238,2009-01-01T19:45:00,58.48,40,4.27
239,2009-01-01T19:50:00,118.7117399,72.21293245,4.234999999999999
240,2009-01-01T19:55:00,135.1690705,88.319398675,4.217499999999999
241,2009-01-01T20:00:00,133.5399066,104.4258649,4.2
242,2009-01-01T20:05:00,96.2999533,53,10.99233748
243,2009-01-01T20:10:00,59.06,47,3.73
244,2009-01-01T20:15:00,59.42,57,3.8
245,2009-01-01T20:20:00,58.44,50,3.87
246,2009-01-01T20:25:00,59.055,31,2.13
