,starttime,speed,volume,occupancy
0,2009-01-01T00:05:00,57.37,19.0,1.54
1,2009-01-01T00:10:00,129.0523684,30.0,1.47
3,2009-01-01T00:20:00,55.34,35.0,9.122926625
4,2009-01-01T00:25:00,56.45,74.68058711,2.73
5,2009-01-01T00:30:00,57.005,55.340293555,2.8
6,2009-01-01T00:35:00,57.56,45.6701467775,2.835
7,2009-01-01T00:40:00,121.74029399999999,36.0,2.87
8,2009-01-01T00:45:00,89.54014699999999,82.52351918,3.0
9,2009-01-01T00:50:00,57.34,38.0,3.13
10,2009-01-01T00:55:00,56.46,53.04285097,3.13
11,2009-01-01T01:00:00,56.275000000000006,60.564276455000005,2.4
12,2009-01-01T01:05:00,56.182500000000005,68.08570194,2.935
13,2009-01-01T01:10:00,56.136250000000004,50.54285097,3.2025
14,2009-01-01T01:15:00,56.09,33.0,3.47
15,2009-01-01T01:20:00,56.4,30.0,2.47
16,2009-01-01T01:25:00,115.21409009999998,31.0,9.136100655
17,2009-01-01T01:30:00,127.6676092,28.0,2.27
18,2009-01-01T01:35:00,91.2038046,33.0,2.0
19,2009-01-01T01:40:00,54.74,38.0,2.8
20,2009-01-01T01:45:00,131.4386483,28.5,2.93
21,2009-01-01T01:50:00,94.96932415,19.0,2.5300000000000002
22,2009-01-01T01:55:00,58.5,21.0,2.13
23,2009-01-01T02:00:00,58.945,22.0,5.4055830905
24,2009-01-01T02:05:00,59.39,23.0,8.681166181
25,2009-01-01T02:10:00,57.78,27.0,10.34438472
26,2009-01-01T02:15:00,56.21,14.0,1.27
27,2009-01-01T02:20:00,57.33,21.0,1.4
28,2009-01-01T02:25:00,57.89,66.15918763,2.13
29,2009-01-01T02:30:00,58.45,43.079593815,1.665
30,2009-01-01T02:35:00,53.29,31.5397969075,1.4325
31,2009-01-01T02:40:00,58.3,20.0,1.3162500000000001
32,2009-01-01T02:45:00,56.64,22.0,1.2
33,2009-01-01T02:50:00,56.91,22.0,2.13
34,2009-01-01T02:55:00,55.69,53.57248262,0.93
35,2009-01-01T03:00:00,121.75954159999999,35.28624131,1.8
36,2009-01-01T03:05:00,58.29,17.0,1.13
37,2009-01-01T03:10:00,59.87,23.0,9.817541605
38,2009-01-01T03:15:00,62.33,15.0,5.0737708025
40,2009-01-01T03:25:00,138.60513715,16.0,8.668233058
41,2009-01-01T03:30:00,134.9992566,22.0,8.921411229
42,2009-01-01T03:35:00,59.67,12.0,1.13
43,2009-01-01T03:40:00,59.0,5.0,0.2
44,2009-01-01T03:45:00,56.67,65.92806622,1.13
45,2009-01-01T03:50:00,56.3,20.0,1.53
46,2009-01-01T03:55:00,57.15,7.0,1.03
47,2009-01-01T04:00:00,58.0,10.0,0.53
48,2009-01-01T04:05:00,57.0,13.0,0.93
49,2009-01-01T04:10:00,53.5,14.5,1.03
50,2009-01-01T04:15:00,57.23,15.25,1.13
51,2009-01-01T04:20:00,57.349999999999994,16.0,4.727102068999999
52,2009-01-01T04:25:00,57.47,15.0,6.525653103499999
53,2009-01-01T04:30:00,59.575,17.0,8.324204137999999
54,2009-01-01T04:35:00,61.68,19.0,4.927102068999999
55,2009-01-01T04:40:00,57.65,16.5,1.53
56,2009-01-01T04:45:00,59.11,14.0,1.13
57,2009-01-01T04:50:00,60.57,16.5,1.1
58,2009-01-01T04:55:00,59.95,19.0,1.07
59,2009-01-01T05:00:00,56.54,13.0,7.038031237
60,2009-01-01T05:05:00,59.480000000000004,32.664489169999996,3.7540156185
61,2009-01-01T05:10:00,62.42,52.32897834,0.47
62,2009-01-01T05:15:00,58.45,22.0,1.77
63,2009-01-01T05:20:00,136.5671181,13.0,2.42
64,2009-01-01T05:25:00,58.31,80.61382748,3.07
65,2009-01-01T05:30:00,57.59,17.0,2.27
66,2009-01-01T05:35:00,59.96,23.0,1.47
