,Index_Num,starttime,resolution,speed,volume,occupancy
0,3,2011-03-01T00:05:00,0:05:00,,,
1,5,2011-03-01T00:10:00,0:05:00,61.91,11.0,0.46
287,578,2011-03-02T00:00:00,0:05:00,61.91,11.0,0.46
288,580,2011-03-02T00:05:00,0:05:00,61.0,6.0,1.0
289,581,2011-03-02T00:10:00,0:05:00,61.33,6.0,0.92
290,584,2011-03-02T00:15:00,0:05:00,65.0,4.0,0.2
291,586,2011-03-02T00:20:00,0:05:00,66.75,8.0,0.25
293,589,2011-03-02T00:30:00,0:05:00,59.67,6.0,0.46
295,594,2011-03-02T00:40:00,0:05:00,58.33,3.0,0.38
296,595,2011-03-02T00:45:00,0:05:00,60.8,5.0,0.5
297,597,2011-03-02T00:50:00,0:05:00,63.0,2.0,0.08
298,600,2011-03-02T00:55:00,0:05:00,67.5,4.0,0.2
299,601,2011-03-02T01:00:00,0:05:00,64.0,5.0,0.56
305,614,2011-03-02T01:30:00,0:05:00,62.0,1.0,0.07
306,615,2011-03-02T01:35:00,0:05:00,70.0,3.0,0.07
310,624,2011-03-02T01:55:00,0:05:00,70.0,2.0,0.13
314,632,2011-03-02T02:15:00,0:05:00,59.0,3.0,0.53
317,638,2011-03-02T02:30:00,0:05:00,62.0,2.0,0.13
318,640,2011-03-02T02:35:00,0:05:00,61.83,6.0,0.13
319,642,2011-03-02T02:40:00,0:05:00,61.0,3.0,0.27
321,646,2011-03-02T02:50:00,0:05:00,29.5,4.0,0.29
324,652,2011-03-02T03:05:00,0:05:00,62.2,5.0,0.27
325,653,2011-03-02T03:10:00,0:05:00,63.67,6.0,0.27
328,660,2011-03-02T03:25:00,0:05:00,61.0,4.0,0.27
329,662,2011-03-02T03:30:00,0:05:00,63.6,15.0,0.8
330,664,2011-03-02T03:35:00,0:05:00,61.43,7.0,0.2
331,666,2011-03-02T03:40:00,0:05:00,65.75,8.0,0.4
332,667,2011-03-02T03:45:00,0:05:00,66.82,11.0,0.4
333,670,2011-03-02T03:50:00,0:05:00,65.33,9.0,0.07
335,674,2011-03-02T04:00:00,0:05:00,61.43,14.0,1.0
336,675,2011-03-02T04:05:00,0:05:00,65.8,5.0,0.36
337,678,2011-03-02T04:10:00,0:05:00,67.44,9.0,0.53
338,680,2011-03-02T04:15:00,0:05:00,61.4,5.0,0.5
339,682,2011-03-02T04:20:00,0:05:00,64.33,3.0,0.25
340,684,2011-03-02T04:25:00,0:05:00,62.67,24.0,1.07
341,686,2011-03-02T04:30:00,0:05:00,63.54,26.0,1.67
342,688,2011-03-02T04:35:00,0:05:00,64.32,38.0,2.87
343,690,2011-03-02T04:40:00,0:05:00,65.77,35.0,1.93
344,692,2011-03-02T04:45:00,0:05:00,65.92,49.0,2.8
345,694,2011-03-02T04:50:00,0:05:00,63.25,44.0,3.07
346,696,2011-03-02T04:55:00,0:05:00,63.52,29.0,3.67
347,698,2011-03-02T05:00:00,0:05:00,66.13,46.0,2.87
348,700,2011-03-02T05:05:00,0:05:00,65.76,55.0,3.67
349,702,2011-03-02T05:10:00,0:05:00,64.62,52.0,3.93
350,704,2011-03-02T05:15:00,0:05:00,64.19,75.0,5.8
351,706,2011-03-02T05:20:00,0:05:00,64.73,98.0,7.53
352,708,2011-03-02T05:25:00,0:05:00,63.26,124.0,9.13
353,710,2011-03-02T05:30:00,0:05:00,63.71,149.0,11.4
354,712,2011-03-02T05:35:00,0:05:00,62.98,140.0,11.27
355,714,2011-03-02T05:40:00,0:05:00,63.87,113.0,9.27
356,716,2011-03-02T05:45:00,0:05:00,62.53,160.0,12.6
357,718,2011-03-02T05:50:00,0:05:00,65.9,122.0,9.2
358,720,2011-03-02T05:55:00,0:05:00,63.61,121.0,10.47
359,722,2011-03-02T06:00:00,0:05:00,63.31,145.0,11.73
360,724,2011-03-02T06:05:00,0:05:00,59.93,164.0,14.0
361,726,2011-03-02T06:10:00,0:05:00,58.23,101.0,14.11
