Index_Num,starttime,resolution,speed,volume,occupancy,speed_处理后,volume_处理后,occupancy_处理后
2,2011-03-01T00:00:00,0:05:00,NA,NA,NA,60.87,6,0.96
3,2011-03-01T00:05:00,0:05:00,NA,NA,NA,60.98,6,0.98
5,2011-03-01T00:10:00,0:05:00,NA,NA,NA,61.67,5,0.74
8,2011-03-01T00:15:00,0:05:00,NA,NA,NA,64.6,4,0.16
9,2011-03-01T00:20:00,0:05:00,NA,NA,NA,67,7,0.27
12,2011-03-01T00:25:00,0:05:00,NA,NA,NA,66.5,2,0.1
13,2011-03-01T00:30:00,0:05:00,NA,NA,NA,60.94,6,0.41
16,2011-03-01T00:35:00,0:05:00,NA,NA,NA,53.09,2,0.11
18,2011-03-01T00:40:00,0:05:00,NA,NA,NA,59.36,4,0.41
19,2011-03-01T00:45:00,0:05:00,NA,NA,NA,60.84,4,0.4
22,2011-03-01T00:50:00,0:05:00,NA,NA,NA,61.93,2,0.13
24,2011-03-01T00:55:00,0:05:00,NA,NA,NA,66.4,3,0.16
26,2011-03-01T01:00:00,0:05:00,NA,NA,NA,63.71,4,0.45
28,2011-03-01T01:05:00,0:05:00,NA,NA,NA,67.8,2,0.01
30,2011-03-01T01:10:00,0:05:00,NA,NA,NA,63.5,0,0
32,2011-03-01T01:15:00,0:05:00,NA,NA,NA,60.67,0,0.03
34,2011-03-01T01:20:00,0:05:00,NA,NA,NA,57.56,1,0.04
36,2011-03-01T01:25:00,0:05:00,NA,NA,NA,61.75,0,0
38,2011-03-01T01:30:00,0:05:00,NA,NA,NA,62.33,1,0.06
40,2011-03-01T01:35:00,0:05:00,NA,NA,NA,68.4,3,0.08
41,2011-03-01T01:40:00,0:05:00,NA,NA,NA,60.8,3,0.02
44,2011-03-01T01:45:00,0:05:00,NA,NA,NA,62.45,0,0
45,2011-03-01T01:50:00,0:05:00,NA,NA,NA,66.67,1,0.05
48,2011-03-01T01:55:00,0:05:00,NA,NA,NA,68.8,2,0.1
50,2011-03-01T02:00:00,0:05:00,NA,NA,NA,64.33,0,0
52,2011-03-01T02:05:00,0:05:00,NA,NA,NA,62.44,0,0
53,2011-03-01T02:10:00,0:05:00,NA,NA,NA,65.62,1,0
56,2011-03-01T02:15:00,0:05:00,NA,NA,NA,58.57,2,0.42
58,2011-03-01T02:20:00,0:05:00,NA,NA,NA,61.25,0,0
60,2011-03-01T02:25:00,0:05:00,NA,NA,NA,11,2,0.04
62,2011-03-01T02:30:00,0:05:00,NA,NA,NA,63.36,2,0.1
63,2011-03-01T02:35:00,0:05:00,NA,NA,NA,62.66,5,0.1
66,2011-03-01T02:40:00,0:05:00,NA,NA,NA,60.13,2,0.22
68,2011-03-01T02:45:00,0:05:00,NA,NA,NA,60.28,1,0.09
70,2011-03-01T02:50:00,0:05:00,NA,NA,NA,33.86,3,0.23
72,2011-03-01T02:55:00,0:05:00,NA,NA,NA,62.75,0,0
74,2011-03-01T03:00:00,0:05:00,NA,NA,NA,61.25,0,0
76,2011-03-01T03:05:00,0:05:00,NA,NA,NA,61.76,4,0.24
78,2011-03-01T03:10:00,0:05:00,NA,NA,NA,62.74,5,0.22
80,2011-03-01T03:15:00,0:05:00,NA,NA,NA,63.31,0,0
82,2011-03-01T03:20:00,0:05:00,NA,NA,NA,63,0,0
84,2011-03-01T03:25:00,0:05:00,NA,NA,NA,60.33,3,0.22
86,2011-03-01T03:30:00,0:05:00,NA,NA,NA,66.28,12,0.64
88,2011-03-01T03:35:00,0:05:00,NA,NA,NA,63.18,7,0.28
90,2011-03-01T03:40:00,0:05:00,NA,NA,NA,65.97,9,0.4
92,2011-03-01T03:45:00,0:05:00,NA,NA,NA,65.94,9,0.38
94,2011-03-01T03:50:00,0:05:00,NA,NA,NA,65.12,9,0.29
96,2011-03-01T03:55:00,0:05:00,NA,NA,NA,65.45,5,0.04
98,2011-03-01T04:00:00,0:05:00,NA,NA,NA,62.29,12,0.85
100,2011-03-01T04:05:00,0:05:00,NA,NA,NA,64.37,8,0.55
102,2011-03-01T04:10:00,0:05:00,NA,NA,NA,67.22,9,0.44
104,2011-03-01T04:15:00,0:05:00,NA,NA,NA,62.93,4,0.42
106,2011-03-01T04:20:00,0:05:00,NA,NA,NA,63.36,4,0.35
108,2011-03-01T04:25:00,0:05:00,NA,NA,NA,64.26,18,0.77
110,2011-03-01T04:30:00,0:05:00,NA,NA,NA,63.89,19,1.39
112,2011-03-01T04:35:00,0:05:00,NA,NA,NA,64.11,39,3.12
114,2011-03-01T04:40:00,0:05:00,NA,NA,NA,64.85,31,1.98
116,2011-03-01T04:45:00,0:05:00,NA,NA,NA,64.18,45,2.97
118,2011-03-01T04:50:00,0:05:00,NA,NA,NA,64,41,2.8
120,2011-03-01T04:55:00,0:05:00,NA,NA,NA,63.97,28,3.37
122,2011-03-01T05:00:00,0:05:00,NA,NA,NA,64.96,42,2.94
124,2011-03-01T05:05:00,0:05:00,NA,NA,NA,64.33,53,3.91
126,2011-03-01T05:10:00,0:05:00,NA,NA,NA,64.54,50,4.2
128,2011-03-01T05:15:00,0:05:00,NA,NA,NA,63.81,64,5.57
130,2011-03-01T05:20:00,0:05:00,NA,NA,NA,64.27,78,6.61
132,2011-03-01T05:25:00,0:05:00,NA,NA,NA,63.04,106,8.11
134,2011-03-01T05:30:00,0:05:00,NA,NA,NA,63.52,125,9.53
