Index_Num,starttime,startDay,startdate,resolution,speed,volume,occupancy,startdate,starthour,startmin,startsec
6338,2011-03-12T00:00:00,2011/3/12,0:00:00,0:05:00,62.44,18,1.2,0:00:00,0,0,0
6340,2011-03-12T00:05:00,2011/3/12,0:05:00,0:05:00,63.57,14,1,0:05:00,0,5,0
6341,2011-03-12T00:10:00,2011/3/12,0:10:00,0:05:00,60.57,7,0.47,0:10:00,0,10,0
6343,2011-03-12T00:15:00,2011/3/12,0:15:00,0:05:00,61.33,6,0.14,0:15:00,0,15,0
6346,2011-03-12T00:20:00,2011/3/12,0:20:00,0:05:00,61.78,9,0.33,0:20:00,0,20,0
6347,2011-03-12T00:25:00,2011/3/12,0:25:00,0:05:00,68.8,5,0,0:25:00,0,25,0
6349,2011-03-12T00:30:00,2011/3/12,0:30:00,0:05:00,66.73,11,0.33,0:30:00,0,30,0
6351,2011-03-12T00:35:00,2011/3/12,0:35:00,0:05:00,61.08,13,0.79,0:35:00,0,35,0
6353,2011-03-12T00:40:00,2011/3/12,0:40:00,0:05:00,59,2,0.13,0:40:00,0,40,0
6356,2011-03-12T00:45:00,2011/3/12,0:45:00,0:05:00,65.33,6,0.07,0:45:00,0,45,0
6358,2011-03-12T00:50:00,2011/3/12,0:50:00,0:05:00,61.4,10,0.53,0:50:00,0,50,0
6360,2011-03-12T00:55:00,2011/3/12,0:55:00,0:05:00,63,1,0,0:55:00,0,55,0
6362,2011-03-12T01:00:00,2011/3/12,1:00:00,0:05:00,66.5,4,0,1:00:00,1,0,0
6363,2011-03-12T01:05:00,2011/3/12,1:05:00,0:05:00,67,1,0.13,1:05:00,1,5,0
6365,2011-03-12T01:10:00,2011/3/12,1:10:00,0:05:00,65.43,7,0.33,1:10:00,1,10,0
6368,2011-03-12T01:15:00,2011/3/12,1:15:00,0:05:00,61.13,8,0.5,1:15:00,1,15,0
6370,2011-03-12T01:20:00,2011/3/12,1:20:00,0:05:00,64,1,0.07,1:20:00,1,20,0
6372,2011-03-12T01:25:00,2011/3/12,1:25:00,0:05:00,NA,0,0,1:25:00,1,25,0
6373,2011-03-12T01:30:00,2011/3/12,1:30:00,0:05:00,NA,0,0,1:30:00,1,30,0
6376,2011-03-12T01:35:00,2011/3/12,1:35:00,0:05:00,76,2,0,1:35:00,1,35,0
6378,2011-03-12T01:40:00,2011/3/12,1:40:00,0:05:00,63,2,0.13,1:40:00,1,40,0
6380,2011-03-12T01:45:00,2011/3/12,1:45:00,0:05:00,59.75,8,0.43,1:45:00,1,45,0
6382,2011-03-12T01:50:00,2011/3/12,1:50:00,0:05:00,65,5,0.36,1:50:00,1,50,0
6385,2011-03-12T04:00:00,2011/3/12,4:00:00,0:05:00,70,3,0.07,4:00:00,4,0,0
6386,2011-03-12T04:05:00,2011/3/12,4:05:00,0:05:00,59.75,8,0.53,4:05:00,4,5,0
6388,2011-03-12T04:10:00,2011/3/12,4:10:00,0:05:00,62,6,0.4,4:10:00,4,10,0
6391,2011-03-12T04:15:00,2011/3/12,4:15:00,0:05:00,60.5,4,0.13,4:15:00,4,15,0
6392,2011-03-12T04:20:00,2011/3/12,4:20:00,0:05:00,67.5,8,0.4,4:20:00,4,20,0
6394,2011-03-12T04:25:00,2011/3/12,4:25:00,0:05:00,NA,0,0,4:25:00,4,25,0
6397,2011-03-12T04:30:00,2011/3/12,4:30:00,0:05:00,70,4,0.2,4:30:00,4,30,0
6398,2011-03-12T04:35:00,2011/3/12,4:35:00,0:05:00,NA,0,0,4:35:00,4,35,0
6400,2011-03-12T04:40:00,2011/3/12,4:40:00,0:05:00,61.5,6,0.4,4:40:00,4,40,0
6402,2011-03-12T04:45:00,2011/3/12,4:45:00,0:05:00,67.67,6,0,4:45:00,4,45,0
6404,2011-03-12T04:50:00,2011/3/12,4:50:00,0:05:00,58.5,4,0.13,4:50:00,4,50,0
6406,2011-03-12T04:55:00,2011/3/12,4:55:00,0:05:00,62,2,0,4:55:00,4,55,0
6409,2011-03-12T05:00:00,2011/3/12,5:00:00,0:05:00,NA,0,0,5:00:00,5,0,0
6411,2011-03-12T05:05:00,2011/3/12,5:05:00,0:05:00,67.2,5,0,5:05:00,5,5,0
6413,2011-03-12T05:10:00,2011/3/12,5:10:00,0:05:00,65.5,4,0.13,5:10:00,5,10,0
6414,2011-03-12T05:15:00,2011/3/12,5:15:00,0:05:00,61.4,5,0,5:15:00,5,15,0
6416,2011-03-12T05:20:00,2011/3/12,5:20:00,0:05:00,64,3,0.07,5:20:00,5,20,0
6418,2011-03-12T05:25:00,2011/3/12,5:25:00,0:05:00,63.33,6,0.13,5:25:00,5,25,0
6421,2011-03-12T05:30:00,2011/3/12,5:30:00,0:05:00,67.33,6,0,5:30:00,5,30,0
6422,2011-03-12T05:35:00,2011/3/12,5:35:00,0:05:00,59.57,7,0.4,5:35:00,5,35,0
6424,2011-03-12T05:40:00,2011/3/12,5:40:00,0:05:00,59.78,9,0.67,5:40:00,5,40,0
