Index_Num,starttime,resolution,speed,volume,occupancy,速度,车流量,占有率,日期,时间,ID,年,月,日,速度均值,车流量均值,占有率均值
2,3/1/2011 0:00:00,0:05:00, , , ,54.58662465,70.82985822,9.791796497,3/1/2011,0:00:00,1,2011,3,1,60.00541308,29.13866394,3.52316016
3,3/1/2011 0:05:00,0:05:00, , , ,54.58693882,70.82985822,9.791796497,3/1/2011,0:05:00,2,2011,3,1,60.37691501,26.4822908,3.347872282
5,3/1/2011 0:10:00,0:05:00, , , ,54.58725299,70.82985822,9.791796497,3/1/2011,0:10:00,3,2011,3,1,58.72970956,25.4822908,3.195872282
8,3/1/2011 0:15:00,0:05:00, , , ,54.58756716,70.82985822,9.791796497,3/1/2011,0:15:00,4,2011,3,1,58.27822736,25.5822908,3.186872282
9,3/1/2011 0:20:00,0:05:00, , , ,54.58788134,70.82985822,9.791796497,3/1/2011,0:20:00,5,2011,3,1,61.05303084,26.14895746,3.126872282
12,3/1/2011 0:25:00,0:05:00, , , ,54.58819551,70.82985822,9.791796497,3/1/2011,0:25:00,6,2011,3,1,60.53775007,25.21562413,3.106538949
13,3/1/2011 0:30:00,0:05:00, , , ,54.58850968,70.82985822,9.791796497,3/1/2011,0:30:00,7,2011,3,1,59.94351099,25.34895746,3.207538949
16,3/1/2011 0:35:00,0:05:00, , , ,54.58882385,70.82985822,9.791796497,3/1/2011,0:35:00,8,2011,3,1,60.05658208,24.7822908,3.176538949
18,3/1/2011 0:40:00,0:05:00, , , ,54.58913802,70.82985822,9.791796497,3/1/2011,0:40:00,9,2011,3,1,57.91336616,24.9822908,3.157205616
19,3/1/2011 0:45:00,0:05:00, , , ,54.58945219,70.82985822,9.791796497,3/1/2011,0:45:00,10,2011,3,1,59.4427395,24.34895746,3.108205616
22,3/1/2011 0:50:00,0:05:00, , , ,54.58976636,70.82985822,9.791796497,3/1/2011,0:50:00,11,2011,3,1,61.13499252,24.41562413,3.065205616
24,3/1/2011 0:55:00,0:05:00, , , ,54.59008053,70.82985822,9.791796497,3/1/2011,0:55:00,12,2011,3,1,59.00399306,23.91562413,3.067538949
26,3/1/2011 1:00:00,0:05:00, , , ,54.59039471,70.82985822,9.791796497,3/1/2011,1:00:00,13,2011,3,1,59.23088468,24.61562413,3.080538949
28,3/1/2011 1:05:00,0:05:00, , , ,54.59070888,70.82985822,9.791796497,3/1/2011,1:05:00,14,2011,3,1,58.63333422,23.21562413,3.086205616
30,3/1/2011 1:10:00,0:05:00, , , ,54.59102305,70.82985822,9.791796497,3/1/2011,1:10:00,15,2011,3,1,59.28969742,23.61562413,3.073538949
32,3/1/2011 1:15:00,0:05:00, , , ,54.59133722,70.82985822,9.791796497,3/1/2011,1:15:00,16,2011,3,1,59.7821871,23.74895746,3.093538949
34,3/1/2011 1:20:00,0:05:00, , , ,54.59165139,70.82985822,9.791796497,3/1/2011,1:20:00,17,2011,3,1,59.83667645,22.74895746,2.992205616
36,3/1/2011 1:25:00,0:05:00, , , ,54.59196556,70.82985822,9.791796497,3/1/2011,1:25:00,18,2011,3,1,56.81250141,23.21562413,3.028205616
38,3/1/2011 1:30:00,0:05:00, , , ,54.59227973,70.82985822,9.791796497,3/1/2011,1:30:00,19,2011,3,1,59.9734946,23.34895746,3.048872282
40,3/1/2011 1:35:00,0:05:00, , , ,54.59259391,70.82985822,9.791796497,3/1/2011,1:35:00,20,2011,3,1,59.07521983,23.7822908,3.051205616
41,3/1/2011 1:40:00,0:05:00, , , ,54.59290808,70.82985822,9.791796497,3/1/2011,1:40:00,21,2011,3,1,58.94351256,23.44895746,3.055872282
44,3/1/2011 1:45:00,0:05:00, , , ,54.59322225,70.82985822,9.791796497,3/1/2011,1:45:00,22,2011,3,1,59.84160576,23.4822908,3.093872282
45,3/1/2011 1:50:00,0:05:00, , , ,54.59353642,70.82985822,9.791796497,3/1/2011,1:50:00,23,2011,3,1,60.30876363,22.81562413,2.991538949
48,3/1/2011 1:55:00,0:05:00, , , ,54.59385059,70.82985822,9.791796497,3/1/2011,1:55:00,24,2011,3,1,58.63985895,23.63685255,3.181592016
50,3/1/2011 2:00:00,0:05:00, , , ,54.59416476,70.82985822,9.791796497,3/1/2011,2:00:00,25,2011,3,1,60.10915788,23.74030083,3.129523051
52,3/1/2011 2:05:00,0:05:00, , , ,54.59447893,70.82985822,9.791796497,3/1/2011,2:05:00,26,2011,3,1,58.71591116,23.67133531,3.143316154
53,3/1/2011 2:10:00,0:05:00, , , ,54.5947931,70.82985822,9.791796497,3/1/2011,2:10:00,27,2011,3,1,57.1956012,23.15409393,3.123660982
56,3/1/2011 2:15:00,0:05:00, , , ,54.59510728,70.82985822,9.791796497,3/1/2011,2:15:00,28,2011,3,1,60.98808093,23.2575422,3.11676443
58,3/1/2011 2:20:00,0:05:00, , , ,54.59542145,70.82985822,9.791796497,3/1/2011,2:20:00,29,2011,3,1,60.66391167,24.39547324,3.193660982
60,3/1/2011 2:25:00,0:05:00, , , ,54.59573562,70.82985822,9.791796497,3/1/2011,2:25:00,30,2011,3,1,56.1705691,24.2575422,3.185729947
62,3/1/2011 2:30:00,0:05:00, , , ,54.59604979,70.82985822,9.791796497,3/1/2011,2:30:00,31,2011,3,1,60.07591849,24.22305945,3.130557534
63,3/1/2011 2:35:00,0:05:00, , , ,54.59636396,70.82985822,9.791796497,3/1/2011,2:35:00,32,2011,3,1,58.88416683,23.60236979,3.216074775
66,3/1/2011 2:40:00,0:05:00, , , ,54.59667813,70.82985822,9.791796497,3/1/2011,2:40:00,33,2011,3,1,58.75878454,24.39547324,3.185040292
68,3/1/2011 2:45:00,0:05:00, , , ,54.5969923,70.82985822,9.791796497,3/1/2011,2:45:00,34,2011,3,1,58.17798361,24.11961117,3.118833396
70,3/1/2011 2:50:00,0:05:00, , , ,54.59730647,70.82985822,9.791796497,3/1/2011,2:50:00,35,2011,3,1,59.01598132,23.67133531,3.14538512
72,3/1/2011 2:55:00,0:05:00, , , ,54.59762065,70.82985822,9.791796497,3/1/2011,2:55:00,36,2011,3,1,60.76072397,23.87823186,3.16676443
74,3/1/2011 3:00:00,0:05:00, , , ,54.59793482,70.82985822,9.791796497,3/1/2011,3:00:00,37,2011,3,1,59.01482666,24.36099048,3.214005809
76,3/1/2011 3:05:00,0:05:00, , , ,54.59824899,70.82985822,9.791796497,3/1/2011,3:05:00,38,2011,3,1,59.36724982,23.98168014,3.184350637
78,3/1/2011 3:10:00,0:05:00, , , ,54.59856316,70.82985822,9.791796497,3/1/2011,3:10:00,39,2011,3,1,59.40685744,23.80926634,3.197109258
80,3/1/2011 3:15:00,0:05:00, , , ,54.59887733,70.82985822,9.791796497,3/1/2011,3:15:00,40,2011,3,1,58.80925832,23.87823186,3.172281672
82,3/1/2011 3:20:00,0:05:00, , , ,54.5991915,70.82985822,9.791796497,3/1/2011,3:20:00,41,2011,3,1,59.0788523,24.2575422,3.17676443
84,3/1/2011 3:25:00,0:05:00, , , ,54.59950567,70.82985822,9.791796497,3/1/2011,3:25:00,42,2011,3,1,61.37662607,24.60236979,3.197454085
86,3/1/2011 3:30:00,0:05:00, , , ,54.59981984,70.82985822,9.791796497,3/1/2011,3:30:00,43,2011,3,1,61.79086518,26.53340427,3.296419603
88,3/1/2011 3:35:00,0:05:00, , , ,54.60013402,70.82985822,9.791796497,3/1/2011,3:35:00,44,2011,3,1,60.31752316,27.63685255,3.337454085
90,3/1/2011 3:40:00,0:05:00, , , ,54.60044819,70.82985822,9.791796497,3/1/2011,3:40:00,45,2011,3,1,61.55004594,28.2575422,3.401592016
92,3/1/2011 3:45:00,0:05:00, , , ,54.60076236,70.82985822,9.791796497,3/1/2011,3:45:00,46,2011,3,1,58.30156613,27.49892152,3.356419603
94,3/1/2011 3:50:00,0:05:00, , , ,54.60107653,70.82985822,9.791796497,3/1/2011,3:50:00,47,2011,3,1,62.14272506,25.80926634,3.220212706
96,3/1/2011 3:55:00,0:05:00, , , ,54.6013907,70.82985822,9.791796497,3/1/2011,3:55:00,48,2011,3,1,60.77654534,26.01616289,3.272626499
98,3/1/2011 4:00:00,0:05:00, , , ,54.60170487,70.82985822,9.791796497,3/1/2011,4:00:00,49,2011,3,1,59.95943951,25.51562413,3.174538949
100,3/1/2011 4:05:00,0:05:00, , , ,54.60201904,70.82985822,9.791796497,3/1/2011,4:05:00,50,2011,3,1,60.07572744,25.34895746,3.159205616
102,3/1/2011 4:10:00,0:05:00, , , ,54.60233321,70.82985822,9.791796497,3/1/2011,4:10:00,51,2011,3,1,60.23211579,26.71562413,3.279538949
104,3/1/2011 4:15:00,0:05:00, , , ,54.60264739,70.82985822,9.791796497,3/1/2011,4:15:00,52,2011,3,1,60.57070417,31.1822908,3.588872282
