Index_Num,starttime,resolution,speed,volume,occupancy,速度,车流量,占有率,日期,时间,ID,年,月,日,速度均值,车流量均值,占有率均值
2,3/1/2011 0:00:00,0:05:00, , , ,54.5866246507742,70.8298582151793,9.79179649708092,3/1/2011,0:00:00,1,2011,3,1,60.0054130825197,29.1386639403804,3.52316016034868
578,3/2/2011 0:00:00,0:05:00,61.91,11,.46,61.91,11,.46,3/2/2011,0:00:00,289,2011,3,2,60.0054130825197,29.1386639403804,3.52316016034868
1154,3/3/2011 0:00:00,0:05:00,58.8,5,.2,58.8,5,.2,3/3/2011,0:00:00,577,2011,3,3,60.0054130825197,29.1386639403804,3.52316016034868
1729,3/4/2011 0:00:00,0:05:00, , , ,54.8580686353498,70.8298582151793,9.79179649708092,3/4/2011,0:00:00,865,2011,3,4,60.0054130825197,29.1386639403804,3.52316016034868
2305,3/5/2011 0:00:00,0:05:00, , , ,54.9485499635417,70.8298582151793,9.79179649708092,3/5/2011,0:00:00,1153,2011,3,5,60.0054130825197,29.1386639403804,3.52316016034868
2881,3/6/2011 0:00:00,0:05:00,61.38,8,.14,61.38,8,.14,3/6/2011,0:00:00,1441,2011,3,6,60.0054130825197,29.1386639403804,3.52316016034868
3457,3/7/2011 0:00:00,0:05:00,63.36,11,1,63.36,11,1,3/7/2011,0:00:00,1729,2011,3,7,60.0054130825197,29.1386639403804,3.52316016034868
4033,3/8/2011 0:00:00,0:05:00,64.55,11,.62,64.55,11,.62,3/8/2011,0:00:00,2017,2011,3,8,60.0054130825197,29.1386639403804,3.52316016034868
4610,3/9/2011 0:00:00,0:05:00,64.75,8,.53,64.75,8,.53,3/9/2011,0:00:00,2305,2011,3,9,60.0054130825197,29.1386639403804,3.52316016034868
5186,3/10/2011 0:00:00,0:05:00, , , ,55.4009566045011,70.8298582151793,9.79179649708092,3/10/2011,0:00:00,2593,2011,3,10,60.0054130825197,29.1386639403804,3.52316016034868
5761,3/11/2011 0:00:00,0:05:00, , , ,55.4914379326929,70.8298582151793,9.79179649708092,3/11/2011,0:00:00,2881,2011,3,11,60.0054130825197,29.1386639403804,3.52316016034868
6338,3/12/2011 0:00:00,0:05:00,62.44,18,1.2,62.44,18,1.2,3/12/2011,0:00:00,3169,2011,3,12,60.0054130825197,29.1386639403804,3.52316016034868
6865,3/13/2011 0:00:00,0:05:00,63,11,.93,63,11,.93,3/13/2011,0:00:00,3432,2011,3,13,60.0054130825197,29.1386639403804,3.52316016034868
7440,3/14/2011 0:00:00,0:05:00, ,0,0,55.7550276353075,0,0,3/14/2011,0:00:00,3720,2011,3,14,60.0054130825197,29.1386639403804,3.52316016034868
8017,3/15/2011 0:00:00,0:05:00,64.6,5,.2,64.6,5,.2,3/15/2011,0:00:00,4008,2011,3,15,60.0054130825197,29.1386639403804,3.52316016034868
8591,3/16/2011 0:00:00,0:05:00,62,3,.21,62,3,.21,3/16/2011,0:00:00,4295,2011,3,16,60.0054130825197,29.1386639403804,3.52316016034868
9166,3/17/2011 0:00:00,0:05:00,60.67,6,.13,60.67,6,.13,3/17/2011,0:00:00,4583,2011,3,17,60.0054130825197,29.1386639403804,3.52316016034868
9742,3/18/2011 0:00:00,0:05:00,56.91,22,1.4,56.91,22,1.4,3/18/2011,0:00:00,4871,2011,3,18,60.0054130825197,29.1386639403804,3.52316016034868
10319,3/19/2011 0:00:00,0:05:00,63.75,8,.33,63.75,8,.33,3/19/2011,0:00:00,5159,2011,3,19,60.0054130825197,29.1386639403804,3.52316016034868
10895,3/20/2011 0:00:00,0:05:00,64.88,8,.07,64.88,8,.07,3/20/2011,0:00:00,5447,2011,3,20,60.0054130825197,29.1386639403804,3.52316016034868
11471,3/21/2011 0:00:00,0:05:00,61.6,10,.53,61.6,10,.53,3/21/2011,0:00:00,5735,2011,3,21,60.0054130825197,29.1386639403804,3.52316016034868
12047,3/22/2011 0:00:00,0:05:00,63.67,12,.4,63.67,12,.4,3/22/2011,0:00:00,6023,2011,3,22,60.0054130825197,29.1386639403804,3.52316016034868
12605,3/23/2011 0:00:00,0:05:00,64.5,14,.67,64.5,14,.67,3/23/2011,0:00:00,6302,2011,3,23,60.0054130825197,29.1386639403804,3.52316016034868
13166,3/24/2011 0:00:00,0:05:00,62.2,10,.42,62.2,10,.42,3/24/2011,0:00:00,6583,2011,3,24,60.0054130825197,29.1386639403804,3.52316016034868
13742,3/25/2011 0:00:00,0:05:00,57.86,7,1,57.86,7,1,3/25/2011,0:00:00,6871,2011,3,25,60.0054130825197,29.1386639403804,3.52316016034868
14319,3/26/2011 0:00:00,0:05:00, , , ,56.8354626618764,70.8298582151793,9.79179649708092,3/26/2011,0:00:00,7159,2011,3,26,60.0054130825197,29.1386639403804,3.52316016034868
14894,3/27/2011 0:00:00,0:05:00,60.86,7,.86,60.86,7,.86,3/27/2011,0:00:00,7447,2011,3,27,60.0054130825197,29.1386639403804,3.52316016034868
15470,3/28/2011 0:00:00,0:05:00, , , ,57.0164253182601,70.8298582151793,9.79179649708092,3/28/2011,0:00:00,7735,2011,3,28,60.0054130825197,29.1386639403804,3.52316016034868
16047,3/29/2011 0:00:00,0:05:00, , , ,57.106906646452,70.8298582151793,9.79179649708092,3/29/2011,0:00:00,8023,2011,3,29,60.0054130825197,29.1386639403804,3.52316016034868
16600,3/30/2011 0:00:00,0:05:00, , , ,57.193932090581,70.8298582151793,9.79179649708092,3/30/2011,0:00:00,8300,2011,3,30,60.0054130825197,29.1386639403804,3.52316016034868
17177,3/31/2011 0:00:00,0:05:00, , , ,57.2844134187729,70.8298582151793,9.79179649708092,3/31/2011,0:00:00,8588,2011,3,31,60.0054130825197,29.1386639403804,3.52316016034868
3,3/1/2011 0:05:00,0:05:00, , , ,54.5869388220527,70.8298582151793,9.79179649708092,3/1/2011,0:05:00,2,2011,3,1,60.3769150068961,26.4822907978871,3.34787228245761
580,3/2/2011 0:05:00,0:05:00,61,6,1,61,6,1,3/2/2011,0:05:00,290,2011,3,2,60.3769150068961,26.4822907978871,3.34787228245761
1155,3/3/2011 0:05:00,0:05:00,64.8,5,.13,64.8,5,.13,3/3/2011,0:05:00,578,2011,3,3,60.3769150068961,26.4822907978871,3.34787228245761
1732,3/4/2011 0:05:00,0:05:00, , , ,54.8583828066283,70.8298582151793,9.79179649708092,3/4/2011,0:05:00,866,2011,3,4,60.3769150068961,26.4822907978871,3.34787228245761
2307,3/5/2011 0:05:00,0:05:00, , , ,54.9488641348202,70.8298582151793,9.79179649708092,3/5/2011,0:05:00,1154,2011,3,5,60.3769150068961,26.4822907978871,3.34787228245761
2884,3/6/2011 0:05:00,0:05:00,63,3,.07,63,3,.07,3/6/2011,0:05:00,1442,2011,3,6,60.3769150068961,26.4822907978871,3.34787228245761
3459,3/7/2011 0:05:00,0:05:00,59.25,12,.87,59.25,12,.87,3/7/2011,0:05:00,1730,2011,3,7,60.3769150068961,26.4822907978871,3.34787228245761
4036,3/8/2011 0:05:00,0:05:00,66,2,0,66,2,0,3/8/2011,0:05:00,2018,2011,3,8,60.3769150068961,26.4822907978871,3.34787228245761
4612,3/9/2011 0:05:00,0:05:00,59.11,19,1.29,59.11,19,1.29,3/9/2011,0:05:00,2306,2011,3,9,60.3769150068961,26.4822907978871,3.34787228245761
5188,3/10/2011 0:05:00,0:05:00, , , ,55.4012707757795,70.8298582151793,9.79179649708092,3/10/2011,0:05:00,2594,2011,3,10,60.3769150068961,26.4822907978871,3.34787228245761
5763,3/11/2011 0:05:00,0:05:00, , , ,55.4917521039714,70.8298582151793,9.79179649708092,3/11/2011,0:05:00,2882,2011,3,11,60.3769150068961,26.4822907978871,3.34787228245761
6340,3/12/2011 0:05:00,0:05:00,63.57,14,1,63.57,14,1,3/12/2011,0:05:00,3170,2011,3,12,60.3769150068961,26.4822907978871,3.34787228245761
6867,3/13/2011 0:05:00,0:05:00,65.5,6,.4,65.5,6,.4,3/13/2011,0:05:00,3433,2011,3,13,60.3769150068961,26.4822907978871,3.34787228245761
7443,3/14/2011 0:05:00,0:05:00,66,2,.46,66,2,.46,3/14/2011,0:05:00,3721,2011,3,14,60.3769150068961,26.4822907978871,3.34787228245761
8019,3/15/2011 0:05:00,0:05:00,64,4,.15,64,4,.15,3/15/2011,0:05:00,4009,2011,3,15,60.3769150068961,26.4822907978871,3.34787228245761
8593,3/16/2011 0:05:00,0:05:00,66.92,13,.8,66.92,13,.8,3/16/2011,0:05:00,4296,2011,3,16,60.3769150068961,26.4822907978871,3.34787228245761
9168,3/17/2011 0:05:00,0:05:00,65.73,11,.53,65.73,11,.53,3/17/2011,0:05:00,4584,2011,3,17,60.3769150068961,26.4822907978871,3.34787228245761
9744,3/18/2011 0:05:00,0:05:00,58.57,14,1.5,58.57,14,1.5,3/18/2011,0:05:00,4872,2011,3,18,60.3769150068961,26.4822907978871,3.34787228245761
10321,3/19/2011 0:05:00,0:05:00,61.75,16,1.14,61.75,16,1.14,3/19/2011,0:05:00,5160,2011,3,19,60.3769150068961,26.4822907978871,3.34787228245761
10897,3/20/2011 0:05:00,0:05:00,60.6,5,0,60.6,5,0,3/20/2011,0:05:00,5448,2011,3,20,60.3769150068961,26.4822907978871,3.34787228245761
11473,3/21/2011 0:05:00,0:05:00,56.6,5,.36,56.6,5,.36,3/21/2011,0:05:00,5736,2011,3,21,60.3769150068961,26.4822907978871,3.34787228245761
12049,3/22/2011 0:05:00,0:05:00,61.5,4,0,61.5,4,0,3/22/2011,0:05:00,6024,2011,3,22,60.3769150068961,26.4822907978871,3.34787228245761
12606,3/23/2011 0:05:00,0:05:00,64,6,.14,64,6,.14,3/23/2011,0:05:00,6303,2011,3,23,60.3769150068961,26.4822907978871,3.34787228245761
13169,3/24/2011 0:05:00,0:05:00,59.33,3,1.8,59.33,3,1.8,3/24/2011,0:05:00,6584,2011,3,24,60.3769150068961,26.4822907978871,3.34787228245761
13745,3/25/2011 0:05:00,0:05:00,63.71,7,.67,63.71,7,.67,3/25/2011,0:05:00,6872,2011,3,25,60.3769150068961,26.4822907978871,3.34787228245761
14321,3/26/2011 0:05:00,0:05:00, , , ,56.8357768331548,70.8298582151793,9.79179649708092,3/26/2011,0:05:00,7160,2011,3,26,60.3769150068961,26.4822907978871,3.34787228245761
14896,3/27/2011 0:05:00,0:05:00, ,0,0,56.9262581613467,0,0,3/27/2011,0:05:00,7448,2011,3,27,60.3769150068961,26.4822907978871,3.34787228245761
15472,3/28/2011 0:05:00,0:05:00, , , ,57.0167394895386,70.8298582151793,9.79179649708092,3/28/2011,0:05:00,7736,2011,3,28,60.3769150068961,26.4822907978871,3.34787228245761
16049,3/29/2011 0:05:00,0:05:00, , , ,57.1072208177305,70.8298582151793,9.79179649708092,3/29/2011,0:05:00,8024,2011,3,29,60.3769150068961,26.4822907978871,3.34787228245761
16603,3/30/2011 0:05:00,0:05:00, , , ,57.1942462618594,70.8298582151793,9.79179649708092,3/30/2011,0:05:00,8301,2011,3,30,60.3769150068961,26.4822907978871,3.34787228245761
5,3/1/2011 0:10:00,0:05:00, , , ,54.5872529933311,70.8298582151793,9.79179649708092,3/1/2011,0:10:00,3,2011,3,1,58.7297095568798,25.4822907978871,3.19587228245761
581,3/2/2011 0:10:00,0:05:00,61.33,6,.92,61.33,6,.92,3/2/2011,0:10:00,291,2011,3,2,58.7297095568798,25.4822907978871,3.19587228245761
1157,3/3/2011 0:10:00,0:05:00,60,2,0,60,2,0,3/3/2011,0:10:00,579,2011,3,3,58.7297095568798,25.4822907978871,3.19587228245761
1734,3/4/2011 0:10:00,0:05:00, , , ,54.8586969779067,70.8298582151793,9.79179649708092,3/4/2011,0:10:00,867,2011,3,4,58.7297095568798,25.4822907978871,3.19587228245761
2310,3/5/2011 0:10:00,0:05:00, , , ,54.9491783060986,70.8298582151793,9.79179649708092,3/5/2011,0:10:00,1155,2011,3,5,58.7297095568798,25.4822907978871,3.19587228245761
2885,3/6/2011 0:10:00,0:05:00,61.5,2,.13,61.5,2,.13,3/6/2011,0:10:00,1443,2011,3,6,58.7297095568798,25.4822907978871,3.19587228245761
3462,3/7/2011 0:10:00,0:05:00,57.6,10,.13,57.6,10,.13,3/7/2011,0:10:00,1731,2011,3,7,58.7297095568798,25.4822907978871,3.19587228245761
4038,3/8/2011 0:10:00,0:05:00,62.5,4,.13,62.5,4,.13,3/8/2011,0:10:00,2019,2011,3,8,58.7297095568798,25.4822907978871,3.19587228245761
4614,3/9/2011 0:10:00,0:05:00,61,4,.1,61,4,.1,3/9/2011,0:10:00,2307,2011,3,9,58.7297095568798,25.4822907978871,3.19587228245761
5190,3/10/2011 0:10:00,0:05:00, , , ,55.401584947058,70.8298582151793,9.79179649708092,3/10/2011,0:10:00,2595,2011,3,10,58.7297095568798,25.4822907978871,3.19587228245761
5765,3/11/2011 0:10:00,0:05:00, , , ,55.4920662752498,70.8298582151793,9.79179649708092,3/11/2011,0:10:00,2883,2011,3,11,58.7297095568798,25.4822907978871,3.19587228245761
6341,3/12/2011 0:10:00,0:05:00,60.57,7,.47,60.57,7,.47,3/12/2011,0:10:00,3171,2011,3,12,58.7297095568798,25.4822907978871,3.19587228245761
6868,3/13/2011 0:10:00,0:05:00,61.38,8,.47,61.38,8,.47,3/13/2011,0:10:00,3434,2011,3,13,58.7297095568798,25.4822907978871,3.19587228245761
7444,3/14/2011 0:10:00,0:05:00,59.71,7,.9,59.71,7,.9,3/14/2011,0:10:00,3722,2011,3,14,58.7297095568798,25.4822907978871,3.19587228245761
8021,3/15/2011 0:10:00,0:05:00,30.17,6,.2,30.17,6,.2,3/15/2011,0:10:00,4010,2011,3,15,58.7297095568798,25.4822907978871,3.19587228245761
8595,3/16/2011 0:10:00,0:05:00,65.47,19,.93,65.47,19,.93,3/16/2011,0:10:00,4297,2011,3,16,58.7297095568798,25.4822907978871,3.19587228245761
