﻿Index_Num,starttime,resolution,speed,volume,occupancy,速度,车流量,占有率,日期,时间,ID,年,月,日,速度均值,车流量均值,占有率均值,volume_1,speed_1,occupancy_1
2, ,0:05:00, , , ,54.5866246507742,70.8298582151793,9.79179649708092,3/1/2011,0:00:00,1,2011,3,1,60.0054130825197,29.1386639403804,3.52316016034868, , , 
3, ,0:05:00, , , ,54.5869388220527,70.8298582151793,9.79179649708092,3/1/2011,0:05:00,2,2011,3,1,60.3769150068961,26.4822907978871,3.34787228245761,6.16666666666667,60.9766666666667,.976666666666667
5, ,0:05:00, , , ,54.5872529933311,70.8298582151793,9.79179649708092,3/1/2011,0:10:00,3,2011,3,1,58.7297095568798,25.4822907978871,3.19587228245761,4.8,61.67,.736
8, ,0:05:00, , , ,54.5875671646096,70.8298582151793,9.79179649708092,3/1/2011,0:15:00,4,2011,3,1,58.2782273644705,25.5822907978871,3.18687228245761,3.6,64.6,.16
9, ,0:05:00, , , ,54.587881335888,70.8298582151793,9.79179649708092,3/1/2011,0:20:00,5,2011,3,1,61.0530308434428,26.1489574645538,3.12687228245761,7,67,.272
12, ,0:05:00, , , ,54.5881955071664,70.8298582151793,9.79179649708092,3/1/2011,0:25:00,6,2011,3,1,60.5377500737186,25.2156241312205,3.10653894912428,2.4,66.5,.1
13, ,0:05:00, , , ,54.5885096784449,70.8298582151793,9.79179649708092,3/1/2011,0:30:00,7,2011,3,1,59.9435109917688,25.3489574645538,3.20753894912428,6,60.936,.412
16, ,0:05:00, , , ,54.5888238497233,70.8298582151793,9.79179649708092,3/1/2011,0:35:00,8,2011,3,1,60.0565820824162,24.7822907978871,3.17653894912428,2.2,53.09,.114
18, ,0:05:00, , , ,54.5891380210018,70.8298582151793,9.79179649708092,3/1/2011,0:40:00,9,2011,3,1,57.9133661612026,24.9822907978871,3.15720561579094,4,59.364,.414
19, ,0:05:00, , , ,54.5894521922802,70.8298582151793,9.79179649708092,3/1/2011,0:45:00,10,2011,3,1,59.442739504602,24.3489574645538,3.10820561579094,4.4,60.84,.4
22, ,0:05:00, , , ,54.5897663635587,70.8298582151793,9.79179649708092,3/1/2011,0:50:00,11,2011,3,1,61.134992519333,24.4156241312205,3.06520561579094,2.2,61.934,.13
24, ,0:05:00, , , ,54.5900805348371,70.8298582151793,9.79179649708092,3/1/2011,0:55:00,12,2011,3,1,59.003993057609,23.9156241312205,3.06753894912428,3.4,66.4,.16
26, ,0:05:00, , , ,54.5903947061156,70.8298582151793,9.79179649708092,3/1/2011,1:00:00,13,2011,3,1,59.2308846777917,24.6156241312205,3.08053894912428,4,63.7142857142857,.448
28, ,0:05:00, , , ,54.590708877394,70.8298582151793,9.79179649708092,3/1/2011,1:05:00,14,2011,3,1,58.6333342152253,23.2156241312205,3.08620561579094,1.8,67.8,.014
30, ,0:05:00, , , ,54.5910230486724,70.8298582151793,9.79179649708092,3/1/2011,1:10:00,15,2011,3,1,59.2896974211205,23.6156241312205,3.07353894912428,0,63.5,0
32, ,0:05:00, , , ,54.5913372199509,70.8298582151793,9.79179649708092,3/1/2011,1:15:00,16,2011,3,1,59.7821871012662,23.7489574645538,3.09353894912428,.2,60.6666666666667,.026
34, ,0:05:00, , , ,54.5916513912293,70.8298582151793,9.79179649708092,3/1/2011,1:20:00,17,2011,3,1,59.8366764465402,22.7489574645538,2.99220561579094,.6,57.5566666666667,.036
36, ,0:05:00, , , ,54.5919655625078,70.8298582151793,9.79179649708092,3/1/2011,1:25:00,18,2011,3,1,56.812501413935,23.2156241312205,3.02820561579094,0,61.75,0
38, ,0:05:00, , , ,54.5922797337862,70.8298582151793,9.79179649708092,3/1/2011,1:30:00,19,2011,3,1,59.9734945971206,23.3489574645538,3.04887228245761,.8,62.3328571428571,.056
40, ,0:05:00, , , ,54.5925939050647,70.8298582151793,9.79179649708092,3/1/2011,1:35:00,20,2011,3,1,59.0752198314022,23.7822907978871,3.05120561579094,2.6,68.4,.078
41, ,0:05:00, , , ,54.5929080763431,70.8298582151793,9.79179649708092,3/1/2011,1:40:00,21,2011,3,1,58.9435125600863,23.4489574645538,3.05587228245761,2.6,60.8,.018
44, ,0:05:00, , , ,54.5932222476215,70.8298582151793,9.79179649708092,3/1/2011,1:45:00,22,2011,3,1,59.8416057647463,23.4822907978871,3.09387228245761,0,62.4455555555556,0
45, ,0:05:00, , , ,54.5935364189,70.8298582151793,9.79179649708092,3/1/2011,1:50:00,23,2011,3,1,60.3087636267925,22.8156241312205,2.99153894912428,.6,66.6666666666667,.054
48, ,0:05:00, , , ,54.5938505901784,70.8298582151793,9.79179649708092,3/1/2011,1:55:00,24,2011,3,1,58.6398589501406,23.6368525495384,3.18159201633546,2,68.8,.104
50, ,0:05:00, , , ,54.5941647614569,70.8298582151793,9.79179649708092,3/1/2011,2:00:00,25,2011,3,1,60.1091578767334,23.7403008254005,3.12952305081822,.4,64.3333333333333,0
52, ,0:05:00, , , ,54.5944789327353,70.8298582151793,9.79179649708092,3/1/2011,2:05:00,26,2011,3,1,58.7159111599742,23.6713353081591,3.14331615426649,0,62.4444444444444,0
53, ,0:05:00, , , ,54.5947931040138,70.8298582151793,9.79179649708092,3/1/2011,2:10:00,27,2011,3,1,57.1956011962148,23.1540939288488,3.1236609818527,.8,65.6185714285714,0
56, ,0:05:00, , , ,54.5951072752922,70.8298582151793,9.79179649708092,3/1/2011,2:15:00,28,2011,3,1,60.9880809311854,23.2575422047108,3.11676443012856,2.4,58.5714285714286,.424
58, ,0:05:00, , , ,54.5954214465707,70.8298582151793,9.79179649708092,3/1/2011,2:20:00,29,2011,3,1,60.6639116703779,24.3954732391936,3.1936609818527,0,61.25,0
60, ,0:05:00, , , ,54.5957356178491,70.8298582151793,9.79179649708092,3/1/2011,2:25:00,30,2011,3,1,56.1705690998611,24.2575422047108,3.18572994736994,2,11,.044
62, ,0:05:00, , , ,54.5960497891275,70.8298582151793,9.79179649708092,3/1/2011,2:30:00,31,2011,3,1,60.0759184909756,24.2230594460901,3.13055753357684,1.6,63.3571428571429,.104
63, ,0:05:00, , , ,54.596363960406,70.8298582151793,9.79179649708092,3/1/2011,2:35:00,32,2011,3,1,58.8841668299708,23.6023697909177,3.21607477495615,5.4,62.664,.104
66, ,0:05:00, , , ,54.5966781316844,70.8298582151793,9.79179649708092,3/1/2011,2:40:00,33,2011,3,1,58.7587845445518,24.3954732391936,3.18504029219753,2.4,60.1285714285714,.216
68, ,0:05:00, , , ,54.5969923029629,70.8298582151793,9.79179649708092,3/1/2011,2:45:00,34,2011,3,1,58.1779836131635,24.1196111702281,3.1188333956458,.6,60.2766666666667,.086
70, ,0:05:00, , , ,54.5973064742413,70.8298582151793,9.79179649708092,3/1/2011,2:50:00,35,2011,3,1,59.0159813241793,23.6713353081591,3.14538511978374,3.2,33.8571428571429,.232
72, ,0:05:00, , , ,54.5976206455198,70.8298582151793,9.79179649708092,3/1/2011,2:55:00,36,2011,3,1,60.7607239699886,23.8782318598832,3.16676443012856,0,62.75,0
74, ,0:05:00, , , ,54.5979348167982,70.8298582151793,9.79179649708092,3/1/2011,3:00:00,37,2011,3,1,59.0148266611395,24.3609904805729,3.21400580943891,0,61.25,0
76, ,0:05:00, , , ,54.5982489880766,70.8298582151793,9.79179649708092,3/1/2011,3:05:00,38,2011,3,1,59.3672498220612,23.9816801357453,3.18435063702511,4.4,61.76,.244
78, ,0:05:00, , , ,54.5985631593551,70.8298582151793,9.79179649708092,3/1/2011,3:10:00,39,2011,3,1,59.4068574411194,23.8092663426419,3.19710925771477,5.4,62.736,.216
80, ,0:05:00, , , ,54.5988773306335,70.8298582151793,9.79179649708092,3/1/2011,3:15:00,40,2011,3,1,58.8092583170186,23.8782318598832,3.17228167150787,0,63.3125,0
82, ,0:05:00, , , ,54.599191501912,70.8298582151793,9.79179649708092,3/1/2011,3:20:00,41,2011,3,1,59.0788522997314,24.2575422047108,3.17676443012856,.2,63,0
84, ,0:05:00, , , ,54.5995056731904,70.8298582151793,9.79179649708092,3/1/2011,3:25:00,42,2011,3,1,61.3766260710992,24.6023697909177,3.19745408530098,3.2,60.3328571428572,.216
86, ,0:05:00, , , ,54.5998198444689,70.8298582151793,9.79179649708092,3/1/2011,3:30:00,43,2011,3,1,61.7908651838845,26.5334042736763,3.29641960254236,12.2,66.28,.64
88, ,0:05:00, , , ,54.6001340157473,70.8298582151793,9.79179649708092,3/1/2011,3:35:00,44,2011,3,1,60.3175231592341,27.6368525495384,3.33745408530098,6.66666666666667,63.1766666666667,.28
90, ,0:05:00, , , ,54.6004481870258,70.8298582151793,9.79179649708092,3/1/2011,3:40:00,45,2011,3,1,61.5500459429558,28.2575422047108,3.40159201633546,9.33333333333333,65.9733333333333,.4
92, ,0:05:00, , , ,54.6007623583042,70.8298582151793,9.79179649708092,3/1/2011,3:45:00,46,2011,3,1,58.3015661275773,27.4989215150557,3.35641960254236,9.33333333333333,65.9366666666667,.376666666666667
94, ,0:05:00, , , ,54.6010765295826,70.8298582151793,9.79179649708092,3/1/2011,3:50:00,47,2011,3,1,62.1427250556792,25.8092663426419,3.22021270599063,9.33333333333333,65.12,.29
96, ,0:05:00, , , ,54.6013907008611,70.8298582151793,9.79179649708092,3/1/2011,3:55:00,48,2011,3,1,60.7765453438012,26.016162894366,3.27262649909408,4.66666666666667,65.4466666666667,.0366666666666667
98, ,0:05:00, , , ,54.6017048721395,70.8298582151793,9.79179649708092,3/1/2011,4:00:00,49,2011,3,1,59.9594395131661,25.5156241312205,3.17453894912428,12,62.2866666666667,.85
100, ,0:05:00, , , ,54.602019043418,70.8298582151793,9.79179649708092,3/1/2011,4:05:00,50,2011,3,1,60.0757274435067,25.3489574645538,3.15920561579094,8,64.3666666666667,.546666666666667
102, ,0:05:00, , , ,54.6023332146964,70.8298582151793,9.79179649708092,3/1/2011,4:10:00,51,2011,3,1,60.2321157868127,26.7156241312205,3.27953894912428,9,67.22,.443333333333333
104, ,0:05:00, , , ,54.6026473859749,70.8298582151793,9.79179649708092,3/1/2011,4:15:00,52,2011,3,1,60.5707041712086,31.1822907978871,3.58887228245761,4,62.9333333333333,.416666666666667
106, ,0:05:00, , , ,54.6029615572533,70.8298582151793,9.79179649708092,3/1/2011,4:20:00,53,2011,3,1,59.4626795124169,31.7156241312205,3.59953894912428,4.33333333333333,63.3633333333333,.35
108, ,0:05:00, , , ,54.6032757285318,70.8298582151793,9.79179649708092,3/1/2011,4:25:00,54,2011,3,1,60.8951127066111,32.4489574645538,3.74953894912428,18.3333333333333,64.2566666666667,.77
110, ,0:05:00, , , ,54.6035898998102,70.8298582151793,9.79179649708092,3/1/2011,4:30:00,55,2011,3,1,61.3837345223897,39.2822907978871,4.23820561579094,19,63.8933333333333,1.39
112, ,0:05:00, , , ,54.6039040710886,70.8298582151793,9.79179649708092,3/1/2011,4:35:00,56,2011,3,1,61.6714593233841,39.6822907978871,4.29687228245761,38.6666666666667,64.1133333333333,3.12
114, ,0:05:00, , , ,54.6042182423671,70.8298582151793,9.79179649708092,3/1/2011,4:40:00,57,2011,3,1,62.317842094793,43.0822907978871,4.48587228245761,31.3333333333333,64.8466666666667,1.98333333333333
116, ,0:05:00, , , ,54.6045324136455,70.8298582151793,9.79179649708092,3/1/2011,4:45:00,58,2011,3,1,62.7042696795099,42.7822907978871,4.49320561579094,44.6666666666667,64.1766666666667,2.97
118, ,0:05:00, , , ,54.604846584924,70.8298582151793,9.79179649708092,3/1/2011,4:50:00,59,2011,3,1,62.1048200840943,38.4822907978871,4.06353894912428,41,63.9966666666667,2.80333333333333
120, ,0:05:00, , , ,54.6051607562024,70.8298582151793,9.79179649708092,3/1/2011,4:55:00,60,2011,3,1,61.9561248489436,38.7822907978871,4.24753894912428,28,63.9733333333333,3.37333333333333
122, ,0:05:00, , , ,54.6054749274809,70.8298582151793,9.79179649708092,3/1/2011,5:00:00,61,2011,3,1,61.1384600401342,42.7822907978871,4.39020561579094,41.6666666666667,64.9566666666667,2.94333333333333
124, ,0:05:00, , , ,54.6057890987593,70.8298582151793,9.79179649708092,3/1/2011,5:05:00,62,2011,3,1,62.5049800183773,45.6489574645538,4.84953894912428,53,64.33,3.90666666666667
126, ,0:05:00, , , ,54.6061032700378,70.8298582151793,9.79179649708092,3/1/2011,5:10:00,63,2011,3,1,61.5387409364275,49.9489574645538,5.43753894912428,50,64.5366666666667,4.19666666666667
128, ,0:05:00, , , ,54.6064174413162,70.8298582151793,9.79179649708092,3/1/2011,5:15:00,64,2011,3,1,61.4141685211444,54.9156241312204,6.11653894912428,63.6666666666667,63.81,5.57
130, ,0:05:00, , , ,54.6067316125946,70.8298582151793,9.79179649708092,3/1/2011,5:20:00,65,2011,3,1,61.1815961058612,63.0489574645538,6.46220561579094,78.3333333333333,64.2733333333333,6.61333333333333
132, ,0:05:00, , , ,54.6070457838731,70.8298582151793,9.79179649708092,3/1/2011,5:25:00,66,2011,3,1,60.5396903572448,72.5156241312204,7.37620561579094,106.333333333333,63.0433333333333,8.11
134, ,0:05:00, , , ,54.6073599551515,70.8298582151793,9.79179649708092,3/1/2011,5:30:00,67,2011,3,1,60.653451275295,84.9489574645538,8.51853894912428,125.333333333333,63.5166666666667,9.53333333333334
136, ,0:05:00, , , ,54.60767412643,70.8298582151793,9.79179649708092,3/1/2011,5:35:00,68,2011,3,1,59.9625455266785,92.5489574645538,9.35987228245761,132.666666666667,62.2233333333333,11.0366666666667
138, ,0:05:00, , , ,54.6079882977084,70.8298582151793,9.79179649708092,3/1/2011,5:40:00,69,2011,3,1,59.758639778062,85.6489574645538,9.44553894912428,108,62.7133333333333,10.1466666666667
140, ,0:05:00, , , ,54.6083024689869,70.8298582151793,9.79179649708092,3/1/2011,5:45:00,70,2011,3,1,60.0540673627789,93.9489574645538,9.59587228245761,140.333333333333,61.5866666666667,13.3633333333333
142, ,0:05:00, , , ,54.6086166402653,70.8298582151793,9.79179649708092,3/1/2011,5:50:00,71,2011,3,1,60.2578282808291,91.0822907978871,9.20187228245761,104.333333333333,64.5066666666667,9.06
144, ,0:05:00, , , ,54.6089308115438,70.8298582151793,9.79179649708092,3/1/2011,5:55:00,72,2011,3,1,60.040255865546,87.4489574645538,9.44087228245761,114,62.9566666666667,11.3866666666667
146, ,0:05:00, , , ,54.6092449828222,70.8298582151793,9.79179649708092,3/1/2011,6:00:00,73,2011,3,1,60.0880167835962,93.2156241312205,9.40453894912428,127.666666666667,62.5666666666667,11.8566666666667
148, ,0:05:00, , , ,54.6095591541006,70.8298582151793,9.79179649708092,3/1/2011,6:05:00,74,2011,3,1,58.4710110177214,98.1156241312205,10.5968722824576,146,60.5833333333333,12.1566666666667
150, ,0:05:00, , , ,54.6098733253791,70.8298582151793,9.79179649708092,3/1/2011,6:10:00,75,2011,3,1,56.2015386196966,104.682290797887,12.4298722824576,93.3333333333333,59.5566666666667,12.3766666666667
152, ,0:05:00, , , ,54.6101874966575,70.8298582151793,9.79179649708092,3/1/2011,6:15:00,76,2011,3,1,51.7662995377468,102.21562413122,15.0192056157909,125.666666666667,54.71,17.9033333333333
154, ,0:05:00, , , ,54.610501667936,70.8298582151793,9.79179649708092,3/1/2011,6:20:00,77,2011,3,1,48.4267271224637,105.082290797887,16.4428722824576,114.333333333333,51.5166666666667,17.8866666666667
156, ,0:05:00, , , ,54.6108158392144,70.8298582151793,9.79179649708092,3/1/2011,6:25:00,78,2011,3,1,48.3144880405139,100.782290797887,16.0348722824576,119.333333333333,47.1266666666667,19.9066666666667
158, ,0:05:00, , , ,54.6111300104929,70.8298582151793,9.79179649708092,3/1/2011,6:30:00,79,2011,3,1,49.7372489585641,103.482290797887,15.6002056157909,158.666666666667,47.9433333333333,18.7133333333333
160, ,0:05:00, , , ,54.6114441817713,70.8298582151793,9.79179649708092,3/1/2011,6:35:00,80,2011,3,1,50.6006765432809,99.3822907978871,14.7882056157909,127,40.84,26.9833333333333
162, ,0:05:00, , , ,54.6117583530497,70.8298582151793,9.79179649708092,3/1/2011,6:40:00,81,2011,3,1,47.0904374613311,95.4822907978871,16.6378722824576,88.3333333333333,33.3433333333333,28.6633333333333
164, ,0:05:00, , , ,54.6120725243282,70.8298582151793,9.79179649708092,3/1/2011,6:45:00,82,2011,3,1,47.2405317127146,98.3822907978871,16.7145389491243,118.333333333333,33.3433333333333,31.7333333333333
166, ,0:05:00, , , ,54.6123866956066,70.8298582151793,9.79179649708092,3/1/2011,6:50:00,83,2011,3,1,47.8672926307649,98.0822907978871,15.8528722824576,135,42.3266666666667,22.3966666666667
168, ,0:05:00, , , ,54.6127008668851,70.8298582151793,9.79179649708092,3/1/2011,6:55:00,84,2011,3,1,45.9460535488151,90.6156241312205,17.4608722824576,112.333333333333,34.8033333333333,24.7
170, ,0:05:00, , , ,54.6130150381635,70.8298582151793,9.79179649708092,3/1/2011,7:00:00,85,2011,3,1,46.1774811335319,98.0489574645538,16.9355389491243,74.6666666666667,34.1733333333333,28.0366666666667
172, ,0:05:00, , , ,54.613329209442,70.8298582151793,9.79179649708092,3/1/2011,7:05:00,86,2011,3,1,46.4999087182488,94.0489574645538,18.0858722824576,152.333333333333,50.05,16.3433333333333
174, ,0:05:00, , , ,54.6136433807204,70.8298582151793,9.79179649708092,3/1/2011,7:10:00,87,2011,3,1,44.2413363029657,101.982290797887,19.2052056157909,115,37.4166666666667,24.46
176, ,0:05:00, , , ,54.6139575519989,70.8298582151793,9.79179649708092,3/1/2011,7:15:00,88,2011,3,1,44.3097638876825,93.2822907978871,19.0538722824576,130.333333333333,33.2533333333333,29.95
178, ,0:05:00, , , ,54.6142717232773,70.8298582151793,9.79179649708092,3/1/2011,7:20:00,89,2011,3,1,43.7543360059304,103.7403008254,19.8053851197837,129.666666666667,46.5533333333333,19.8666666666667
180, ,0:05:00, , , ,54.6145858945557,70.8298582151793,9.79179649708092,3/1/2011,7:25:00,90,2011,3,1,44.2409852314996,96.6023697909177,18.6002127059906,114,40.9466666666667,23.06
182, ,0:05:00, , , ,54.6149000658342,70.8298582151793,9.79179649708092,3/1/2011,7:30:00,91,2011,3,1,42.1900482501722,95.016162894366,20.4012471887493,118.333333333333,38.2933333333333,23.4266666666667
184, ,0:05:00, , , ,54.6152142371126,70.8298582151793,9.79179649708092,3/1/2011,7:35:00,92,2011,3,1,40.6091112688448,93.8782318598832,21.4857299473699,108,30.97,31.91
186, ,0:05:00, , , ,54.6155284083911,70.8298582151793,9.79179649708092,3/1/2011,7:40:00,93,2011,3,1,42.1536915288967,97.6713353081591,20.2615920163355,144.333333333333,31.52,30.4933333333333
188, ,0:05:00, , , ,54.6158425796695,70.8298582151793,9.79179649708092,3/1/2011,7:45:00,94,2011,3,1,42.0427545475694,99.7403008254005,20.5260747749561,122.333333333333,22.6866666666667,36.3233333333333
190, ,0:05:00, , , ,54.616156750948,70.8298582151793,9.79179649708092,3/1/2011,7:50:00,95,2011,3,1,42.2563003248627,97.6368525495384,19.8860747749562,145.333333333333,39.98,23.4033333333333
192, ,0:05:00, , , ,54.6164709222264,70.8298582151793,9.79179649708092,3/1/2011,7:55:00,96,2011,3,1,42.7568512320841,98.1822907978871,19.5408722824576,165.333333333333,44.47,23.2233333333333
194, ,0:05:00, , , ,54.6167850935048,70.8298582151793,9.79179649708092,3/1/2011,8:00:00,97,2011,3,1,43.1336121501343,97.5822907978871,19.6692056157909,135.666666666667,45.79,20.1666666666667
196, ,0:05:00, , , ,54.6170992647833,70.8298582151793,9.79179649708092,3/1/2011,8:05:00,98,2011,3,1,41.7217064015178,93.3489574645538,20.5168722824576,127.666666666667,29.31,36.2766666666667
198, ,0:05:00, , , ,54.6174134360617,70.8298582151793,9.79179649708092,3/1/2011,8:10:00,99,2011,3,1,43.5278006529014,96.3822907978871,19.1885389491243,146.333333333333,46.2366666666667,18.9033333333333
200, ,0:05:00, , , ,54.6177276073402,70.8298582151793,9.79179649708092,3/1/2011,8:15:00,100,2011,3,1,44.2615615709516,92.1489574645538,18.7648722824576,81.6666666666667,31.27,30.77
202, ,0:05:00, , , ,54.6180417786186,70.8298582151793,9.79179649708092,3/1/2011,8:20:00,101,2011,3,1,41.6036558223351,91.4156241312205,21.5362056157909,109.666666666667,27.3566666666667,33.1666666666667
204, ,0:05:00, , , ,54.6183559498971,70.8298582151793,9.79179649708092,3/1/2011,8:25:00,102,2011,3,1,43.3787500737186,98.5156241312204,19.5795389491243,130.666666666667,28.4433333333333,32.7833333333333
206, ,0:05:00, , , ,54.6186701211755,70.8298582151793,9.79179649708092,3/1/2011,8:30:00,103,2011,3,1,43.8501776584355,101.81562413122,19.4828722824576,140.333333333333,37.76,25.7166666666667
208, ,0:05:00, , , ,54.618984292454,70.8298582151793,9.79179649708092,3/1/2011,8:35:00,104,2011,3,1,43.8096052431524,98.6489574645538,19.5372056157909,136,35.57,26.8433333333333
210, ,0:05:00, , , ,54.6192984637324,70.8298582151793,9.79179649708092,3/1/2011,8:40:00,105,2011,3,1,44.6600328278692,95.4156241312205,18.8078722824576,144,42.37,23.0533333333333
212, ,0:05:00, , , ,54.6196126350108,70.8298582151793,9.79179649708092,3/1/2011,8:45:00,106,2011,3,1,47.8124604125861,98.5156241312204,16.6308722824576,148,46.7266666666667,19.98
214, ,0:05:00, , , ,54.6199268062893,70.8298582151793,9.79179649708092,3/1/2011,8:50:00,107,2011,3,1,48.1065546639696,104.71562413122,17.1495389491243,158.333333333333,49.0533333333333,21.4033333333333
216, ,0:05:00, , , ,54.6202409775677,70.8298582151793,9.79179649708092,3/1/2011,8:55:00,108,2011,3,1,45.9133155820198,90.7156241312205,18.9942056157909,131.666666666667,34.3566666666667,30.4133333333333
218, ,0:05:00, , , ,54.6205551488462,70.8298582151793,9.79179649708092,3/1/2011,9:00:00,109,2011,3,1,46.8357431667367,97.3489574645538,18.1838722824576,136.333333333333,32.8633333333333,30.43
220, ,0:05:00, , , ,54.6208693201246,70.8298582151793,9.79179649708092,3/1/2011,9:05:00,110,2011,3,1,47.4155040847869,95.2156241312205,16.8582056157909,90.6666666666667,34.1566666666667,26.74
222, ,0:05:00, , , ,54.6211834914031,70.8298582151793,9.79179649708092,3/1/2011,9:10:00,111,2011,3,1,47.4095983361704,96.2489574645538,16.9398722824576,129,32.8333333333333,28.7
224, ,0:05:00, , , ,54.6214976626815,70.8298582151793,9.79179649708092,3/1/2011,9:15:00,112,2011,3,1,46.9590259208873,84.5489574645538,18.9508722824576,84.6666666666667,19.39,37.9866666666667
226, ,0:05:00, , , ,54.62181183396,70.8298582151793,9.79179649708092,3/1/2011,9:20:00,113,2011,3,1,45.6971201722708,88.3822907978871,20.4228722824576,124.333333333333,38.6666666666667,23.8233333333333
228, ,0:05:00, , , ,54.6221260052384,70.8298582151793,9.79179649708092,3/1/2011,9:25:00,114,2011,3,1,48.8246511832425,94.2822907978871,15.7475389491243,140.333333333333,41.8033333333333,22.58
230, ,0:05:00, , , ,54.6224401765168,70.8298582151793,9.79179649708092,3/1/2011,9:30:00,115,2011,3,1,47.0083086750379,95.7489574645538,18.4712056157909,135,47.97,19.4033333333333
232, ,0:05:00, , , ,54.6227543477953,70.8298582151793,9.79179649708092,3/1/2011,9:35:00,116,2011,3,1,47.1310695930881,95.2489574645538,17.2348722824576,142,49.8966666666667,22.65
