Index_Num,starttime,resolution,speed,volume,occupancy,速度,车流量,占有率,年,月,日,日期,时间,速度均值,车流量均值,占有率均值,ID,filter_$
527,2/2/2014 0:00:00,0:00:05,66.33,9,.53,66.33,9,.53,2014,2,2,2/2/2014,0:00:00,60.9854409686004,5.94736842105263,.472105263157895,1,1
529,2/2/2014 0:05:00,0:00:05,60,1,0,60,1,0,2014,2,2,2/2/2014,0:05:00,61.7977863625539,4.80952380952381,.742301248857753,2,1
532,2/2/2014 0:10:00,0:00:05,63.25,8,.8,63.25,8,.8,2014,2,2,2/2/2014,0:10:00,60.1722222222222,8.8586064765511,.430555555555556,3,1
533,2/2/2014 0:15:00,0:00:05,60,2,0,60,2,0,2014,2,2,2/2/2014,0:15:00,60.7892209886362,9.08558332811293,.382941176470588,4,1
535,2/2/2014 0:20:00,0:00:05,62,4,.13,62,4,.13,2014,2,2,2/2/2014,0:20:00,62.5798293056219,8.86604824094315,.758332959263832,5,1
538,2/2/2014 0:25:00,0:00:05,72,1,.08,72,1,.08,2014,2,2,2/2/2014,0:25:00,62.6535210224116,4,.247222222222222,6,1
539,2/2/2014 0:30:00,0:00:05,61.6,5,.33,61.6,5,.33,2014,2,2,2/2/2014,0:30:00,58.039383450639,4.9375,.3125,7,1
542,2/2/2014 0:35:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,0:35:00,60.1395135210224,2.25,.62191631130064,8,1
543,2/2/2014 0:40:00,0:00:05,66,6,.4,66,6,.4,2014,2,2,2/2/2014,0:40:00,61.2206756806816,3.75,.1855,9,1
546,2/2/2014 0:45:00,0:00:05,64,6,.67,64,6,.67,2014,2,2,2/2/2014,0:45:00,60.6604606913738,7.6777196889018,.559469373909673,10,1
548,2/2/2014 0:50:00,0:00:05,64.13,8,0,64.13,8,0,2014,2,2,2/2/2014,0:50:00,57.6775976003787,5.55555555555556,.404444444444445,11,1
550,2/2/2014 0:55:00,0:00:05,58,1,.08,58,1,.08,2014,2,2,2/2/2014,0:55:00,55.7653753781564,3.72222222222222,1.12092513622365,12,1
551,2/2/2014 1:00:00,0:00:05,62.22,9,.6,62.22,9,.6,2014,2,2,2/2/2014,1:00:00,54.1501876890782,3.83333333333333,.726018123667378,13,1
554,2/2/2014 1:05:00,0:00:05,57,2,.17,57,2,.17,2014,2,2,2/2/2014,1:05:00,52.0198364219495,2.78947368421053,.654648748737516,14,1
555,2/2/2014 1:10:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,1:10:00,58.675448084928,7.07657455673262,.764122432948043,15,1
558,2/2/2014 1:15:00,0:00:05,57,3,.25,57,3,.25,2014,2,2,2/2/2014,1:15:00,60.3886407068847,2.29411764705882,.131764705882353,16,1
559,2/2/2014 1:20:00,0:00:05,56.5,4,.27,56.5,4,.27,2014,2,2,2/2/2014,1:20:00,60.2996396452018,6.19193980988443,.694351457000712,17,1
561,2/2/2014 1:25:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,1:25:00,57.8033558683707,1.38888888888889,.566018123667378,18,1
564,2/2/2014 1:30:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,1:30:00,59.8103753781565,6.30305092099554,.204444444444444,19,1
565,2/2/2014 1:35:00,0:00:05,58,4,.33,58,4,.33,2014,2,2,2/2/2014,1:35:00,59.5866852249328,1.47058823529412,.0876470588235294,20,1
567,2/2/2014 1:40:00,0:00:05,64.5,12,.6,64.5,12,.6,2014,2,2,2/2/2014,1:40:00,60.727066777072,3.76470588235294,.705195660353695,21,1
570,2/2/2014 1:45:00,0:00:05,64,4,.33,64,4,.33,2014,2,2,2/2/2014,1:45:00,60.5616824411928,2.1,.267,22,1
572,2/2/2014 1:50:00,0:00:05,72,2,0,72,2,0,2014,2,2,2/2/2014,1:50:00,62.1695135210224,5.57274582889599,.135,23,1
574,2/2/2014 1:55:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,1:55:00,60.0700142326552,1.84210526315789,.670964538211201,24,1
576,2/2/2014 2:00:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,2:00:00,56.701200331216,1.23529411764706,.0588235294117647,25,1
578,2/2/2014 2:05:00,0:00:05,62,2,.17,62,2,.17,2014,2,2,2/2/2014,2:05:00,59.4808890535285,2.21052631578947,.586754011895411,26,1
579,2/2/2014 2:10:00,0:00:05,63.5,4,.13,63.5,4,.13,2014,2,2,2/2/2014,2:10:00,58.8183476738117,7.76862877981089,.206818181818182,27,1
582,2/2/2014 2:15:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,2:15:00,59.8678992742764,7.45044696162907,.207727272727273,28,1
583,2/2/2014 2:20:00,0:00:05,58,6,.4,58,6,.4,2014,2,2,2/2/2014,2:20:00,55.1885843057356,1.76190476190476,.106190476190476,29,1
586,2/2/2014 2:25:00,0:00:05,61.89,9,1.5,61.89,9,1.5,2014,2,2,2/2/2014,2:25:00,59.6742985914499,2.04761904761905,.219047619047619,30,1
588,2/2/2014 2:30:00,0:00:05,67.33,3,0,67.33,3,0,2014,2,2,2/2/2014,2:30:00,61.3753701571144,2.34782608695652,.114782608695652,31,1
590,2/2/2014 2:35:00,0:00:05,67,2,.33,67,2,.33,2014,2,2,2/2/2014,2:35:00,61.3269682791499,2.52173913043478,.2,32,1
592,2/2/2014 2:40:00,0:00:05,57,2,.13,57,2,.13,2014,2,2,2/2/2014,2:40:00,59.8416779341853,2.04166666666667,.114166666666667,33,1
594,2/2/2014 2:45:00,0:00:05,62,1,.08,62,1,.08,2014,2,2,2/2/2014,2:45:00,54.9904279341854,2.29166666666667,.24125,34,1
596,2/2/2014 2:50:00,0:00:05,58.25,4,.27,58.25,4,.27,2014,2,2,2/2/2014,2:50:00,57.664594600852,2.375,.12875,35,1
597,2/2/2014 2:55:00,0:00:05,57,4,.33,57,4,.33,2014,2,2,2/2/2014,2:55:00,59.3200245836771,1.5,.123636363636364,36,1
600,2/2/2014 3:00:00,0:00:05, ,0,0,56.8433784034081,0,0,2014,2,2,2/2/2014,3:00:00,59.0853877932307,1.39130434782609,.111304347826087,37,1
601,2/2/2014 3:05:00,0:00:05,63,5,.33,63,5,.33,2014,2,2,2/2/2014,3:05:00,57.985844600852,2.5,.166666666666667,38,1
603,2/2/2014 3:10:00,0:00:05,65.14,7,.33,65.14,7,.33,2014,2,2,2/2/2014,3:10:00,61.0627673401677,2.65217391304348,.174782608695652,39,1
606,2/2/2014 3:15:00,0:00:05,59,2,.13,59,2,.13,2014,2,2,2/2/2014,3:15:00,59.9516830557848,2.13636363636364,.124545454545455,40,1
608,2/2/2014 3:20:00,0:00:05,55.43,7,.4,55.43,7,.4,2014,2,2,2/2/2014,3:20:00,61.6104406613141,4.65217391304348,.362173913043478,41,1
610,2/2/2014 3:25:00,0:00:05,58,1,.08,58,1,.08,2014,2,2,2/2/2014,3:25:00,62.2179573852708,3.23076923076923,.505320239462031,42,1
612,2/2/2014 3:30:00,0:00:05,62,4,.13,62,4,.13,2014,2,2,2/2/2014,3:30:00,60.3138907668087,4.83333333333333,.510416666666667,43,1
613,2/2/2014 3:35:00,0:00:05,60.67,9,.33,60.67,9,.33,2014,2,2,2/2/2014,3:35:00,61.2445889670927,4.66666666666667,.365416666666667,44,1
615,2/2/2014 3:40:00,0:00:05,60.67,6,.2,60.67,6,.2,2014,2,2,2/2/2014,3:40:00,62.7340970550102,6.40909090909091,.366363636363636,45,1
618,2/2/2014 3:45:00,0:00:05,63,6,.25,63,6,.25,2014,2,2,2/2/2014,3:45:00,63.8059459481224,6.93282245990956,.263913043478261,46,1
620,2/2/2014 3:50:00,0:00:05,53.73,11,.4,53.73,11,.4,2014,2,2,2/2/2014,3:50:00,62.5984169908008,3.57142857142857,.218571428571429,47,1
622,2/2/2014 3:55:00,0:00:05,63.6,5,.42,63.6,5,.42,2014,2,2,2/2/2014,3:55:00,61.3657678189564,5.65704166263272,.188181818181818,48,1
624,2/2/2014 4:00:00,0:00:05,61.13,8,.53,61.13,8,.53,2014,2,2,2/2/2014,4:00:00,61.7368304736567,3.72727272727273,.216818181818182,49,1
625,2/2/2014 4:05:00,0:00:05,66.67,6,.17,66.67,6,.17,2014,2,2,2/2/2014,4:05:00,61.3735067605112,6.12274582889599,.248,50,1
627,2/2/2014 4:10:00,0:00:05,61.64,11,.4,61.64,11,.4,2014,2,2,2/2/2014,4:10:00,62.7771977266745,7.63157894736842,.508421052631579,51,1
629,2/2/2014 4:15:00,0:00:05,62,17,.93,62,17,.93,2014,2,2,2/2/2014,4:15:00,61.7350067605112,9.05,.6765,52,1
631,2/2/2014 4:20:00,0:00:05,66.06,17,.87,66.06,17,.87,2014,2,2,2/2/2014,4:20:00,63.4325798548553,12.4752234808145,.948560283000582,53,1
634,2/2/2014 4:25:00,0:00:05,64.88,24,1.75,64.88,24,1.75,2014,2,2,2/2/2014,4:25:00,63.9892084954004,11.3809523809524,.880952380952381,54,1
